Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2011-01-01 00:00:00;2.174;3.094;161;0;0;-21.47;81.7;22.42;28.78;30.09;28.51;941;0
Ribeirão Preto;2011-01-01 01:00:00;2.011;3.005;151.8;0;0;-21.55;84.2;21.84;28;29.96;28.55;941;0
Ribeirão Preto;2011-01-01 02:00:00;1.89;3.076;150.6;0;0;-22.19;85.3;21.51;27.48;29.81;28.61;941;0
Ribeirão Preto;2011-01-01 03:00:00;1.76;2.94;158.7;0;0;-21.08;85.1;21.67;26.89;29.64;28.62;941;0
Ribeirão Preto;2011-01-01 04:00:00;2.556;3.639;143.1;0;0;-18.44;83.4;21.89;26.65;29.46;28.64;941;0
Ribeirão Preto;2011-01-01 05:00:00;2.309;3.371;150.2;0;0;-18.1;86.2;21.25;26.34;29.27;28.68;941;0
Ribeirão Preto;2011-01-01 06:00:00;1.913;2.851;157.5;5.2;0;-19.62;91.3;20.56;25.8;29.1;28.68;941;0
Ribeirão Preto;2011-01-01 07:00:00;2.27;3.193;151.3;117.2;0;-19.07;86.5;21.31;25.45;28.92;28.68;942;0
Ribeirão Preto;2011-01-01 08:00:00;2.907;3.798;139.6;346.2;0;-10.89;76.84;23.23;25.88;28.76;28.68;941;0
Ribeirão Preto;2011-01-01 09:00:00;2.685;3.5;125.5;530.5;0;9.05;72.07;24.72;27.88;28.59;28.67;939;0
Ribeirão Preto;2011-01-01 10:00:00;2.421;3.084;117.9;625.3;0;28.45;68.71;25.71;30.74;28.45;28.65;939;0
Ribeirão Preto;2011-01-01 11:00:00;2.221;2.63;60.1;606.3;0;43.96;63.22;26.85;33.57;28.35;28.62;938;0
Ribeirão Preto;2011-01-01 12:00:00;1.551;1.419;4.252;764.5;0;44.71;62.67;27.47;35.23;28.34;28.62;937;0
Ribeirão Preto;2011-01-01 13:00:00;1.599;1.137;281;743.5;0;59.04;60.55;28.31;37.64;28.43;28.57;936;0
Ribeirão Preto;2011-01-01 14:00:00;1.983;2.273;284.7;700.7;0;56.28;59.48;28.59;38.93;28.6;28.56;934;0
Ribeirão Preto;2011-01-01 15:00:00;3.579;4.564;314.5;595.6;0;55.72;61.5;27.98;40.05;28.86;28.51;934;0
Ribeirão Preto;2011-01-01 16:00:00;3.569;4.598;62.25;74.69;0;11.89;94.6;21.01;37.54;29.18;28.51;936;7.62
Ribeirão Preto;2011-01-01 17:00:00;1.269;2.235;121;66.92;0;-63.57;97.5;20.15;28.36;30.2;28.54;937;16.26
Ribeirão Preto;2011-01-01 18:00:00;0.361;1.422;152.2;207.3;0;-35.5;97.4;21.06;27.85;30.75;28.73;937;0
Ribeirão Preto;2011-01-01 19:00:00;0.334;1.643;116.3;81.1;0;-19.66;95;21.74;28.56;30.47;28.74;937;0.254
Ribeirão Preto;2011-01-01 20:00:00;0.629;0.467;156;0.052;0;-23.83;95.9;21.09;28.05;30.19;28.74;939;0
Ribeirão Preto;2011-01-01 21:00:00;0.853;0.052;141.8;0;0;-26.56;96.1;20.97;27.32;29.96;28.74;940;0
Ribeirão Preto;2011-01-01 22:00:00;0.202;0;0;0;0;-26.86;96.4;20.88;26.7;29.77;28.74;941;0
Ribeirão Preto;2011-01-01 23:00:00;0.364;0;0;0;0;-26.68;95;20.77;26.16;29.57;28.76;941;0
Ribeirão Preto;2011-01-02 00:00:00;0;0.016;159.3;0;0;-26.54;95.7;20.83;25.72;29.37;28.79;942;0
Ribeirão Preto;2011-01-02 01:00:00;0;0.234;86.5;0;0;-23.57;95.1;21.47;25.52;29.17;28.79;942;0
Ribeirão Preto;2011-01-02 02:00:00;0;0.157;82.9;0;0;-21.05;94.1;21.49;25.45;28.98;28.79;942;0
Ribeirão Preto;2011-01-02 03:00:00;0;0;0;0;0;-20.35;95;21.13;25.3;28.79;28.79;941;0
Ribeirão Preto;2011-01-02 04:00:00;0.383;0.422;52.79;0;0;-19.92;94.6;21.07;25.12;28.61;28.75;941;0
Ribeirão Preto;2011-01-02 05:00:00;0.16;0.288;110.1;0;0;-19.14;96.2;20.93;24.97;28.45;28.74;941;0
Ribeirão Preto;2011-01-02 06:00:00;0.152;0.41;115.7;2.799;0;-18.48;96.6;20.89;24.81;28.29;28.74;942;0
Ribeirão Preto;2011-01-02 07:00:00;0.076;1.062;147.5;36.71;0;-17.21;96.4;21.04;24.72;28.13;28.69;942;0
Ribeirão Preto;2011-01-02 08:00:00;0;0.932;194.5;51.16;0;-13.76;96.2;21.11;24.9;27.99;28.64;943;0
Ribeirão Preto;2011-01-02 09:00:00;0;1.161;156.2;126.6;0;-9.49;92.9;21.6;25.25;27.87;28.62;943;0.254
Ribeirão Preto;2011-01-02 10:00:00;0;1.907;172.9;170.9;0;-5.86;95.2;21.34;25.71;27.73;28.58;943;0.508
Ribeirão Preto;2011-01-02 11:00:00;0;2.004;185.2;205;0;-0.616;91.5;22.26;26.3;27.66;28.53;942;0
Ribeirão Preto;2011-01-02 12:00:00;0.262;1.338;211.3;332.4;0;2.547;87.4;23.14;26.88;27.59;28.51;942;0.254
Ribeirão Preto;2011-01-02 13:00:00;0.819;1.625;83.8;1131;0;30.43;75.23;25.7;29.54;27.54;28.45;939;0
Ribeirão Preto;2011-01-02 14:00:00;3.455;4.117;52.71;534.9;0;50.37;75.17;25.62;33.12;27.54;28.4;938;0
Ribeirão Preto;2011-01-02 15:00:00;3.341;4.01;49.98;66.56;0;9.27;89.7;22.72;31.36;27.57;28.36;938;0
Ribeirão Preto;2011-01-02 16:00:00;2.408;2.949;45.99;102.7;0;-10.58;94.2;21.76;29.13;27.71;28.32;938;0.508
Ribeirão Preto;2011-01-02 17:00:00;1.093;2.021;57.98;43.97;0;-13.39;93.9;21.68;28.12;27.87;28.28;939;0.508
Ribeirão Preto;2011-01-02 18:00:00;1.487;2.265;47.41;24.25;0;-16.4;95.5;21.43;27.31;27.96;28.26;939;0
Ribeirão Preto;2011-01-02 19:00:00;0;1.006;83.6;3.994;0;-18.02;96.7;21.38;26.66;28;28.23;940;0.762
