Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2004-01-01 01:00:00;3.305;2.769;61.32;0.007;0.026;-30.39;99.5;19.65;26.65;27.18;29.66;941;8.2
Ribeirão Preto;2004-01-01 02:00:00;1.6;1.349;63.18;0.007;0.019;-32.68;100;19.11;25.27;26;29.42;941;4
Ribeirão Preto;2004-01-01 03:00:00;1.007;0.924;56;0.008;0.019;-26.42;100;19.1;24.74;25.14;28.48;940;2.8
Ribeirão Preto;2004-01-01 04:00:00;0.814;0.726;15.55;0.008;0.02;-22.17;100;19.14;24.59;24.57;27.85;940;1
Ribeirão Preto;2004-01-01 05:00:00;1.247;0.807;5.663;0.007;0.022;-20.06;100;19.22;24.47;24.22;27.37;940;0.4
Ribeirão Preto;2004-01-01 06:00:00;1.069;0.648;0.095;0.019;0.023;-19.11;100;19.25;24.3;23.96;26.97;942;0
Ribeirão Preto;2004-01-01 07:00:00;1.075;0.913;47.77;0.316;0.028;-14.89;100;19.88;24.55;23.78;26.75;943;0
Ribeirão Preto;2004-01-01 08:00:00;1.173;1.007;189.3;1.046;0.039;4.62;99;22.82;26.44;23.95;26.66;940;0
Ribeirão Preto;2004-01-01 09:00:00;0.971;0.887;352.7;1.12;0.045;18.15;91.6;24.75;28.9;24.89;26.81;940;0
Ribeirão Preto;2004-01-01 10:00:00;0.905;0.873;35;1.323;0.048;21.36;81.5;26.08;30.24;25.84;26.93;938;0
Ribeirão Preto;2004-01-01 11:00:00;1.336;1.196;63.21;1.58;0.052;43.55;75;28.33;33.39;27.05;27.52;936;0
Ribeirão Preto;2004-01-01 12:00:00;1.06;0.979;64.56;1.52;0.055;45;69.49;29.8;35.08;28.51;28.21;935;0
Ribeirão Preto;2004-01-01 13:00:00;1.37;1.218;29.5;1.825;0.056;52.55;68.21;30.55;36.97;29.86;28.89;933;0
Ribeirão Preto;2004-01-01 14:00:00;1.773;1.54;90.4;0.975;0.056;39.3;71.4;29.47;36.9;31.05;29.62;933;0
Ribeirão Preto;2004-01-01 15:00:00;2.278;2;60.48;0.34;0.045;-40.13;100;21.54;31.14;30.5;30.54;936;9.2
Ribeirão Preto;2004-01-01 16:00:00;1.146;0.939;22.45;0.843;0.045;-12.82;100;22.86;30.2;28.88;30.19;935;0
Ribeirão Preto;2004-01-01 17:00:00;1.004;0.834;351.2;0.259;0.044;-7.17;100;22.56;30.06;28.49;29.9;937;0.8
Ribeirão Preto;2004-01-01 18:00:00;2.581;1.832;335.6;0.406;0.041;-19.48;100;21.52;28.64;27.91;29.45;938;0
Ribeirão Preto;2004-01-01 19:00:00;2.373;1.361;324.7;0.248;0.041;-18.34;100;21.51;28.05;27.23;29.04;940;0
Ribeirão Preto;2004-01-01 20:00:00;2.162;1.25;315.8;0.004;0.039;-23.83;100;20.74;26.99;26.64;28.84;940;0
Ribeirão Preto;2004-01-01 21:00:00;2.339;1.286;315;0.007;0.038;-26.23;100;20.42;26.02;25.98;28.55;941;0
Ribeirão Preto;2004-01-01 22:00:00;1.95;1.115;313.2;0.007;0.037;-25.31;100;20.15;25.44;25.37;28.12;942;0
Ribeirão Preto;2004-01-01 23:00:00;1.995;1.176;320.1;0.007;0.036;-24.6;100;19.71;24.92;24.85;27.61;942;0
Ribeirão Preto;2004-01-02 00:00:00;2.343;1.359;316.3;0.008;0.036;-23.44;100;19.47;24.62;24.37;27.49;942;0
Ribeirão Preto;2004-01-02 01:00:00;2.324;1.326;324.1;0.008;0.035;-23.28;100;19.22;24.27;23.89;27.04;942;0
Ribeirão Preto;2004-01-02 02:00:00;2.271;1.272;322.8;0.007;0.035;-22.45;100;19.03;24;23.65;26.73;941;0
Ribeirão Preto;2004-01-02 03:00:00;2.288;1.333;316.4;0.007;0.035;-22.23;100;18.9;23.72;23.32;26.44;940;0
Ribeirão Preto;2004-01-02 04:00:00;1.991;1.132;321.4;0.008;0.035;-21.17;100;18.85;23.5;23.02;26.21;941;0
Ribeirão Preto;2004-01-02 05:00:00;2.199;1.205;323.6;0.007;0.035;-20.04;100;18.86;23.39;22.85;25.98;941;0
Ribeirão Preto;2004-01-02 06:00:00;2.163;1.214;323.1;0.02;0.035;-20.2;100;18.6;23.17;22.71;26.24;942;0
Ribeirão Preto;2004-01-02 07:00:00;1.986;1.088;301.8;0.349;0.036;-17.37;100;19.06;23.26;22.47;25.57;942;0
Ribeirão Preto;2004-01-02 08:00:00;2.213;1.376;298.2;1.016;0.041;-2.032;96.2;21.75;24.71;22.62;25.47;940;0
Ribeirão Preto;2004-01-02 09:00:00;2.199;1.594;279.7;1.28;0.047;19.97;90.1;24.28;27.54;23.46;25.65;939;0
Ribeirão Preto;2004-01-02 10:00:00;2.004;1.43;290.2;1.449;0.052;38.19;84.6;26.57;30.6;24.79;25.9;938;0
Ribeirão Preto;2004-01-02 11:00:00;1.53;1.189;301.7;1.241;0.054;35.13;81.7;27.37;31.85;26.25;26.62;937;0
Ribeirão Preto;2004-01-02 12:00:00;1.488;1.268;324;1.609;0.056;38.02;79.2;28.52;33.13;27.27;26.97;935;0
Ribeirão Preto;2004-01-02 13:00:00;2.024;1.497;354.7;1.587;0.058;52.82;77.2;29.26;35.67;28.59;27.7;933;0
Ribeirão Preto;2004-01-02 14:00:00;2.754;1.978;346.4;1.72;0.058;42.79;79.3;28.61;35.97;29.64;28.53;932;0
Ribeirão Preto;2004-01-02 15:00:00;3.312;2.685;341.3;1.861;0.059;50.26;81.4;28.27;37.51;30.67;29.27;932;0
Ribeirão Preto;2004-01-02 16:00:00;3.721;3.026;337.5;1.571;0.057;32.79;82.5;27.15;36.7;31.44;29.92;931;0
Ribeirão Preto;2004-01-02 17:00:00;4.549;2.986;328;1.162;0.056;16.58;83.4;26.41;35.17;31.54;30.32;932;0
Ribeirão Preto;2004-01-02 18:00:00;4.007;2.477;319.8;0.554;0.05;-10.38;88.5;23.71;32.05;30.85;30.21;933;0
Ribeirão Preto;2004-01-02 19:00:00;3.423;2.095;314.6;0.062;0.045;-23.52;91.9;21.87;29.52;29.49;30.18;936;0
Ribeirão Preto;2004-01-02 20:00:00;3.412;2.104;326.5;0.004;0.041;-28.98;94.1;20.76;27.69;28.2;29.97;939;0
Ribeirão Preto;2004-01-02 21:00:00;2.684;1.63;327.3;0.007;0.038;-29.63;96.2;20.24;26.52;27.09;29.51;940;0.2
Ribeirão Preto;2004-01-02 22:00:00;2.707;1.621;322.4;0.007;0.037;-28.37;96.1;19.9;25.78;26.27;28.95;941;0
Ribeirão Preto;2004-01-02 23:00:00;3.219;2.057;325.4;0.007;0.035;-29.23;96.7;19.1;24.91;25.46;28.16;942;0
Ribeirão Preto;2004-01-03 00:00:00;2.35;1.409;320.5;0.007;0.032;-30.67;97.2;18.18;24;24.64;27.56;943;0
