Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2016-01-01 00:00:00;1.007;0;0;0;0;8.59;96.7;20.91;26.7;28.13;28.53;945;0.76
Ribeirão Preto;2016-01-01 01:00:00;0.01;0;0;0;0;8.3;96.8;20.4;26.8;27.99;28.52;944;0
Ribeirão Preto;2016-01-01 02:00:00;0.03;0;0;0;0;8.26;96.9;20.46;26.81;27.89;28.5;944;0
Ribeirão Preto;2016-01-01 03:00:00;0.06;0;0;0;0;7.656;96.9;20.4;26.81;27.8;28.47;944;0
Ribeirão Preto;2016-01-01 04:00:00;0.11;0;0;0;0;8.69;97;20.17;26.81;27.75;28.47;944;0
Ribeirão Preto;2016-01-01 05:00:00;0.02;0;0;0;0;10;97;19.88;26.72;27.68;28.47;944;0
Ribeirão Preto;2016-01-01 06:00:00;0;0;0;2.098;0;9.73;97.1;20.02;26.58;27.66;28.42;944;0
Ribeirão Preto;2016-01-01 07:00:00;0.09;0;0;27.6;0;7.434;97.1;20.28;26.58;27.58;28.41;945;0
Ribeirão Preto;2016-01-01 08:00:00;0.01;0;0;89.6;0;3.39;97;20.77;26.63;27.56;28.41;945;0.25
Ribeirão Preto;2016-01-01 09:00:00;0.29;0;0;166.3;0;-1.911;96.7;21.47;26.94;27.5;28.39;944;0
Ribeirão Preto;2016-01-01 10:00:00;1;0;0;358.5;0;-8.88;94.4;22.86;27.42;27.44;28.35;943;0
Ribeirão Preto;2016-01-01 11:00:00;1.745;0;0;570.9;0;-24.92;80.6;25.46;28.26;27.44;28.34;941;0
Ribeirão Preto;2016-01-01 12:00:00;1.766;0;0;615.9;0;-39.25;72.57;27.03;29.55;27.52;28.34;939;0
Ribeirão Preto;2016-01-01 13:00:00;1.772;0;0;724.7;0;-37.36;66.12;28.27;30.66;27.59;28.31;937;0
Ribeirão Preto;2016-01-01 14:00:00;1.471;0;0;833;0;-43.03;57.98;29.52;31.8;27.74;28.29;935;0
Ribeirão Preto;2016-01-01 15:00:00;2.961;0;0;399.9;0;-34.41;66.8;27.28;32.91;27.94;28.29;934;2.032
Ribeirão Preto;2016-01-01 16:00:00;2.334;0;0;226;0;-6.555;89.8;23.09;32.54;28.18;28.29;936;0.25
Ribeirão Preto;2016-01-01 17:00:00;0.87;0;0;263.5;0;-6.695;76.96;25.17;32.01;28.43;28.29;936;0
Ribeirão Preto;2016-01-01 18:00:00;1.309;0;0;165.6;0;-5.413;73.61;25.69;31.9;28.62;28.29;936;0
Ribeirão Preto;2016-01-01 19:00:00;0.25;0;0;27.52;0;1.855;83.2;24.56;31.57;28.75;28.29;937;0
Ribeirão Preto;2016-01-01 20:00:00;0.02;0;0;0;0;5.623;88.3;23.96;31.12;28.85;28.29;939;0
Ribeirão Preto;2016-01-01 21:00:00;0.03;0;0;0;0;6.811;90.9;23.77;30.66;28.92;28.34;941;0
Ribeirão Preto;2016-01-01 22:00:00;0.48;0;0;0;0;7.224;92.6;23.42;30.26;28.92;28.35;942;0
Ribeirão Preto;2016-01-01 23:00:00;1.101;0;0;0;0;8.32;89.7;23.2;29.91;28.92;28.4;943;0
Ribeirão Preto;2016-01-02 00:00:00;0.34;0;0;0;0;8.52;89.7;22.67;29.57;28.92;28.41;943;0
