Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2022-01-01 00:00:00;0.39;0.2;69.7;0;0;-5.337;100;20.93;29.44;29.49;27.92;-3151;1.27
Ribeirão Preto;2022-01-01 01:00:00;0.95;0.2;44.14;0;0;-5.54;99.5;20.65;29.33;29.49;27.91;-3062;0
Ribeirão Preto;2022-01-01 02:00:00;0.52;0.2;37.7;0;0;-5.54;97.6;20.15;29.26;29.45;27.91;-3047;0
Ribeirão Preto;2022-01-01 03:00:00;0.52;0.2;12.16;0;0;-5.653;96.9;19.9;29.2;29.43;27.92;-2998;0
Ribeirão Preto;2022-01-01 04:00:00;0.26;0.2;13.02;0;0;-5.762;97.5;19.72;29.1;29.38;27.91;-2930;0
Ribeirão Preto;2022-01-01 05:00:00;0.2;0.02;18.03;0;0;-5.784;99.4;19.28;29.06;29.37;27.9;-2871;0
Ribeirão Preto;2022-01-01 06:00:00;0.2;0.01;80.8;2.453;0;-5.983;99.2;19.5;28.98;29.32;27.9;-2754;0
Ribeirão Preto;2022-01-01 07:00:00;0.2;0.01;163.7;44.51;0;-6.062;97.2;20.34;28.92;29.28;27.9;-2470;0
Ribeirão Preto;2022-01-01 08:00:00;0.39;0.2;153.5;113.8;0;-6.195;93;21.46;28.87;29.26;27.9;-2188;0
Ribeirão Preto;2022-01-01 09:00:00;0.56;0.21;74.09;156;0;-5.878;91.3;22.29;28.81;29.21;27.9;-2196;0
Ribeirão Preto;2022-01-01 10:00:00;1.064;0.59;40.63;320.1;0;-5.234;89.7;23.44;28.75;29.16;27.9;-2317;0.25
Ribeirão Preto;2022-01-01 11:00:00;2.031;0.96;11.36;386;0;-4.205;87.2;24.33;28.76;29.15;27.9;-2561;0
Ribeirão Preto;2022-01-01 12:00:00;3.1;0.27;1.722;464.4;0;-2.791;82;25.16;28.84;29.11;27.9;-2673;0
Ribeirão Preto;2022-01-01 13:00:00;2.193;0.2;352.2;852;0;-1.158;76.81;26.44;28.92;29.06;27.9;-2726;0
Ribeirão Preto;2022-01-01 14:00:00;1.863;0.2;342.9;610.2;0;0.83;72.79;27.23;29.05;29.04;27.87;-2837;0
Ribeirão Preto;2022-01-01 15:00:00;2.214;0.26;351;743.3;0;3.045;67.75;27.97;29.25;29.04;27.83;-2952;0
Ribeirão Preto;2022-01-01 16:00:00;1.993;0.2;305.6;554.7;0;5.012;69.61;27.67;29.48;29.04;27.79;-3039;0
Ribeirão Preto;2022-01-01 17:00:00;1.319;0.2;261.2;202.1;0;6.39;72.6;26.26;29.71;29.04;27.79;-3154;0
Ribeirão Preto;2022-01-01 18:00:00;0.65;0.2;282.3;221.6;0;6.731;72.3;26.95;29.91;29.1;27.79;-2917;0
Ribeirão Preto;2022-01-01 19:00:00;0.35;0.2;320.7;44.57;0;6.127;73.67;25.76;30.05;29.15;27.79;-2873;0
Ribeirão Preto;2022-01-01 20:00:00;1.972;0.22;19.85;0.48;0;5.043;91.8;22.17;30.16;29.2;27.79;-3323;0.25
Ribeirão Preto;2022-01-01 21:00:00;0.53;0.2;107.3;0;0;3.696;97.8;21.1;30.16;29.26;27.77;-3496;0.25
Ribeirão Preto;2022-01-01 22:00:00;0.34;0.2;152.7;0;0;2.2;97.6;21.26;30.16;29.33;27.74;-3246;0
Ribeirão Preto;2022-01-01 23:00:00;0.59;0.2;133.1;0;0;0.93;97.5;21.1;30.16;29.38;27.73;-3065;0
Ribeirão Preto;2022-01-02 00:00:00;0.3;0.2;101.7;0;0;-0.23;95.5;20.98;30.05;29.43;27.73;-2936;0
Ribeirão Preto;2022-01-02 01:00:00;0.59;0.2;149.8;0;0;-1.165;96.3;20.75;30.01;29.48;27.75;-2822;0
Ribeirão Preto;2022-01-02 02:00:00;0.2;0;174.1;0;0;-1.921;97.1;20.46;29.93;29.49;27.77;-2751;0
Ribeirão Preto;2022-01-02 03:00:00;0.2;0;165.1;0;0;-2.578;96.4;20.41;29.83;29.5;27.79;-2693;0
Ribeirão Preto;2022-01-02 04:00:00;0.26;0.2;159.7;0;0;-3.133;95.8;20.39;29.76;29.54;27.79;-2644;0
Ribeirão Preto;2022-01-02 05:00:00;0.2;0.03;177.9;0;0;-3.641;95;20.64;29.69;29.54;27.79;-2557;0
Ribeirão Preto;2022-01-02 06:00:00;0.2;0.1;171.4;2.426;0;-4.061;94.2;20.81;29.59;29.51;27.79;-2494;0
Ribeirão Preto;2022-01-02 07:00:00;0.2;0.1;170.3;43.25;0;-4.322;92.9;21.45;29.52;29.49;27.79;-2371;0
Ribeirão Preto;2022-01-02 08:00:00;1;0.2;124.9;127.2;0;-4.432;90.7;22.34;29.44;29.49;27.79;-2198;0
Ribeirão Preto;2022-01-02 09:00:00;1.446;0.2;86.8;399.2;0;-4.309;83.5;24.14;29.39;29.49;27.79;-2269;0
Ribeirão Preto;2022-01-02 10:00:00;1.392;0.92;58.82;387.9;0;-3.531;79.44;25.18;29.32;29.46;27.79;-2649;0
Ribeirão Preto;2022-01-02 11:00:00;2.691;1.57;11.4;291.9;0;-2.178;83.9;24.69;29.33;29.42;27.79;-2916;6.35
Ribeirão Preto;2022-01-02 12:00:00;0.63;0.36;281.5;411.5;0;-0.73;94.1;23.08;29.42;29.38;27.79;-3135;5.334
Ribeirão Preto;2022-01-02 13:00:00;0.86;0.67;42.92;684.4;0;-0.18;80.8;26.15;29.45;29.37;27.79;-2513;0
Ribeirão Preto;2022-01-02 14:00:00;1.127;0.75;68.79;849;0;0.92;75.53;27.51;29.53;29.37;27.79;-2703;0
Ribeirão Preto;2022-01-02 15:00:00;0.87;0.53;35.56;421.4;0;3.242;73.82;27.59;29.66;29.37;27.79;-2855;0
Ribeirão Preto;2022-01-02 16:00:00;1.287;0.24;128.3;199.7;0;5.452;75.86;26.82;29.85;29.37;27.79;-2931;0
Ribeirão Preto;2022-01-02 17:00:00;1.209;0.48;262.7;83.4;0;6.198;88.5;24.31;30.02;29.37;27.79;-3322;0
Ribeirão Preto;2022-01-02 18:00:00;0.46;0.2;289.3;70.8;0;5.585;85.9;23.83;30.16;29.4;27.79;-3065;0
Ribeirão Preto;2022-01-02 19:00:00;0.2;0.12;121.5;63.03;0;4.431;84.8;24.44;30.27;29.46;27.79;-2524;0
Ribeirão Preto;2022-01-02 20:00:00;0.2;0.01;157.7;0.51;0;3.192;93.3;23.31;30.27;29.49;27.79;-2735;0
Ribeirão Preto;2022-01-02 21:00:00;0.2;0.03;155;0;0;1.997;97.3;22.78;30.27;29.55;27.79;-2781;0
Ribeirão Preto;2022-01-02 22:00:00;0.2;0;149.6;0;0;0.76;98.6;22.51;30.24;29.6;27.79;-2683;0
Ribeirão Preto;2022-01-02 23:00:00;0.2;0;83.5;0;0;-0.45;99.4;22.08;30.16;29.64;27.79;-2556;0
Ribeirão Preto;2022-01-03 00:00:00;0.2;0.03;95.6;0;0;-1.442;99.2;21.98;30.09;29.66;27.79;-2505;0
Ribeirão Preto;2022-01-03 01:00:00;0.2;0;171.9;0;0;-2.258;99.8;21.68;30.02;29.69;27.79;-2471;0
Ribeirão Preto;2022-01-03 02:00:00;0.2;0.01;156.9;0;0;-2.924;99.9;21.64;29.94;29.71;27.79;-2422;0
Ribeirão Preto;2022-01-03 03:00:00;0.2;0;133.3;0;0;-3.443;98.5;21.69;29.84;29.71;27.81;-2349;0
Ribeirão Preto;2022-01-03 04:00:00;0.2;0.02;151;0;0;-3.722;99.4;21.36;29.76;29.71;27.84;-2332;0
Ribeirão Preto;2022-01-03 05:00:00;0.2;0;172.1;0;0;-3.958;98.7;21.37;29.7;29.68;27.84;-2303;0
Ribeirão Preto;2022-01-03 06:00:00;0.2;0.01;138.8;7.039;0;-4.206;99.1;21.29;29.61;29.66;27.84;-2258;0
Ribeirão Preto;2022-01-03 07:00:00;0.2;0.01;74.37;71.56;0;-4.431;97.2;22.2;29.55;29.65;27.85;-2072;0
Ribeirão Preto;2022-01-03 08:00:00;0.21;0.2;122.9;107.6;0;-4.584;93.6;23.07;29.47;29.6;27.89;-1925;0
Ribeirão Preto;2022-01-03 09:00:00;1.154;0.64;37.58;495.3;0;-4.196;84.9;25.25;29.43;29.6;27.9;-2184;0
Ribeirão Preto;2022-01-03 10:00:00;4.992;2.917;17.07;536.4;0;-3.219;81.9;25.84;29.43;29.57;27.9;-2815;0
Ribeirão Preto;2022-01-03 11:00:00;4.298;2.655;17.62;791;0;-1.602;77.64;27.24;29.43;29.52;27.9;-2973;0.25
Ribeirão Preto;2022-01-03 12:00:00;2.509;0.41;1.318;904;0;0.37;72.35;28.04;29.52;29.49;27.9;-3041;0
Ribeirão Preto;2022-01-03 13:00:00;2.126;0.21;13.84;743.5;0;2.721;69.06;28.83;29.68;29.49;27.9;-3036;0
Ribeirão Preto;2022-01-03 14:00:00;2.24;0.2;8.69;778.5;0;5.436;68.03;29.08;29.91;29.49;27.9;-2903;0
Ribeirão Preto;2022-01-03 15:00:00;1.574;0.23;55.8;434.7;0;7.62;65.6;29.52;30.17;29.49;27.9;-2827;0
Ribeirão Preto;2022-01-03 16:00:00;1.206;0.2;296.9;303.6;0;9.09;76.63;27.11;30.45;29.51;27.9;-3024;0
Ribeirão Preto;2022-01-03 17:00:00;1.452;1.313;97.3;144.5;0;9.02;92.1;23.63;30.68;29.59;27.88;-3163;2.54
Ribeirão Preto;2022-01-03 18:00:00;0.57;0.2;143.9;171.7;0;7.843;92.3;23.86;30.84;29.63;27.85;-3116;0.25
