Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2010-01-01 00:00:00;2.116;0.895;173;0;0;-24.42;83.1;22.86;25.59;27.25;28.14;942;0
Ribeirão Preto;2010-01-01 01:00:00;1.978;0.679;168.7;0;0;-26.74;82.5;22.03;24.89;26.76;27.82;942;0
Ribeirão Preto;2010-01-01 02:00:00;2.323;0.806;167.8;0;0;-27.3;82.9;21.69;24.34;26.28;27.51;942;0
Ribeirão Preto;2010-01-01 03:00:00;2.692;1.297;151.8;0;0;-26.72;83.2;21.36;23.95;25.88;27.2;942;0
Ribeirão Preto;2010-01-01 04:00:00;2.092;1.185;125.7;0;0;-24.97;83.5;21.32;23.73;25.53;26.93;942;0
Ribeirão Preto;2010-01-01 05:00:00;2.19;0.823;148.7;0;0;-23.32;83.5;21.34;23.59;25.28;26.68;942;0
Ribeirão Preto;2010-01-01 06:00:00;2.03;0.641;163;3.521;0;-22.3;84.4;21.27;23.44;25.07;26.46;943;0
Ribeirão Preto;2010-01-01 07:00:00;1.793;0.34;164.8;36.19;0;-18;84.2;21.91;23.62;24.92;26.27;943;0
Ribeirão Preto;2010-01-01 08:00:00;2.395;1.881;126.1;147;0;-6.569;80.2;23.47;24.55;24.94;26.12;943;0
Ribeirão Preto;2010-01-01 09:00:00;2.841;2.35;114.1;192.3;0;9.31;76.95;24.52;26.26;25.38;26.05;943;0
Ribeirão Preto;2010-01-01 10:00:00;2.506;2.111;86.3;417.1;0;26.62;72.95;25.91;28.39;26.06;26.15;942;0
Ribeirão Preto;2010-01-01 11:00:00;2.468;1.99;40.9;519;0;58.5;68.69;27.22;32.17;27.39;26.4;940;0
Ribeirão Preto;2010-01-01 12:00:00;2.519;1.873;53.24;322.2;0;75.38;67.03;27.6;35.13;29.14;26.91;939;0
Ribeirão Preto;2010-01-01 13:00:00;3.971;2.13;160.4;160.1;0;17.43;89.2;24.03;31.9;29.96;27.63;939;4.318
Ribeirão Preto;2010-01-01 14:00:00;4.142;2.239;167.9;618.4;0;33.93;77.97;26.96;32.18;29.51;28.08;938;0
Ribeirão Preto;2010-01-01 15:00:00;4.501;2.591;152;631.2;0;70.82;61.9;29.39;35.81;30.43;28.35;936;0
Ribeirão Preto;2010-01-01 16:00:00;4.299;2.479;146.7;276.8;0;44.67;61.62;28.97;35.48;31.36;28.82;935;0
Ribeirão Preto;2010-01-01 17:00:00;4.612;2.454;158;265.5;0;12.03;63.84;28.59;33.7;31.22;29.25;935;0
Ribeirão Preto;2010-01-01 18:00:00;4.612;3.122;91.7;102.1;0;-3.001;68.82;26.75;31.9;30.76;29.4;935;0
Ribeirão Preto;2010-01-01 19:00:00;2.317;1.726;69.89;31.81;0;-14.98;78.95;24.78;29.59;29.97;29.34;938;0
Ribeirão Preto;2010-01-01 20:00:00;1.495;0.803;112.9;0;0;-19.65;84.3;24.12;28.2;29.18;29.13;940;0
Ribeirão Preto;2010-01-01 21:00:00;1.089;0;169.6;0;0;-22.07;89.7;23.42;27.16;28.47;28.85;942;0
Ribeirão Preto;2010-01-01 22:00:00;1.611;0.428;144.6;0;0;-22.06;89.1;23.47;26.48;27.88;28.53;943;0
Ribeirão Preto;2010-01-01 23:00:00;2.318;1.409;146.4;0;0;-21.33;86.8;23.59;26.02;27.4;28.23;944;0
Ribeirão Preto;2010-01-02 00:00:00;2.599;1.951;116.3;0;0;-19.94;80.7;23.91;25.76;27.03;27.95;944;0
Ribeirão Preto;2010-01-02 01:00:00;2.63;1.965;114;0;0;-19.61;81.1;23.63;25.48;26.74;27.7;944;0
Ribeirão Preto;2010-01-02 02:00:00;2.96;2.367;114.1;0;0;-20.13;82;23.37;25.16;26.47;27.48;944;0
Ribeirão Preto;2010-01-02 03:00:00;2.216;1.617;93.1;0;0;-20.23;83.4;23.03;24.88;26.21;27.28;944;0
Ribeirão Preto;2010-01-02 04:00:00;1.405;0.702;89.1;0;0;-18.66;83.8;22.97;24.77;25.99;27.09;944;0
Ribeirão Preto;2010-01-02 05:00:00;1.494;0.395;152.4;0;0;-17.28;88.1;22.52;24.69;25.84;26.92;944;0
Ribeirão Preto;2010-01-02 06:00:00;1.65;0.144;153.5;2.296;0;-17.2;87.4;22.4;24.53;25.71;26.77;945;0
Ribeirão Preto;2010-01-02 07:00:00;1.805;0.854;100.2;30.04;0;-15.3;83.8;22.88;24.56;25.56;26.64;945;0
Ribeirão Preto;2010-01-02 08:00:00;2.473;1.991;121.8;123.9;0;-6.641;81.2;23.8;25.24;25.56;26.54;945;0
Ribeirão Preto;2010-01-02 09:00:00;3.021;2.418;105.5;266.5;0;11.84;73.43;25.34;27.03;25.92;26.47;944;0
Ribeirão Preto;2010-01-02 10:00:00;3.725;2.795;59.89;389.5;0;26.36;68.87;26.39;29.1;26.71;26.58;944;0
Ribeirão Preto;2010-01-02 11:00:00;4.037;2.949;47.36;601.2;0;55.82;62.26;28.08;32.5;27.89;26.84;942;0
Ribeirão Preto;2010-01-02 12:00:00;4.097;2.889;30.16;383.3;0;61.23;58.46;28.7;34.54;29.48;27.33;941;0.254
Ribeirão Preto;2010-01-02 13:00:00;4.653;3.241;23.22;516.4;0;37.23;60.79;28.35;33.87;30.25;27.95;941;0
Ribeirão Preto;2010-01-02 14:00:00;4.634;3.17;21.19;491.7;0;51.08;55.87;29.39;35.34;30.8;28.44;940;0
Ribeirão Preto;2010-01-02 15:00:00;3.352;1.992;69.09;268.2;0;56.64;57.54;29.04;36.77;31.62;28.9;938;0
Ribeirão Preto;2010-01-02 16:00:00;3.122;1.992;38.81;303.4;0;30.71;54.33;29.87;35.61;31.9;29.37;938;0
Ribeirão Preto;2010-01-02 17:00:00;3.623;2.27;32.51;319.5;0;24.18;48.77;30.88;36.3;31.92;29.67;936;0
Ribeirão Preto;2010-01-02 18:00:00;2.853;1.15;111.5;68.45;0;9;61.4;28.5;34.85;31.98;29.84;937;0
Ribeirão Preto;2010-01-02 19:00:00;2.724;0.342;182.4;10.19;0;-12.11;74.6;26.09;31.31;31.14;29.9;938;0
Ribeirão Preto;2010-01-02 20:00:00;2.245;0.569;181.4;0;0;-21.85;74.16;25.2;28.93;30.07;29.72;941;0
Ribeirão Preto;2010-01-02 21:00:00;2.03;0.409;178.2;0;0;-21.74;73.92;25.23;27.83;29.16;29.41;942;0
Ribeirão Preto;2010-01-02 22:00:00;1.611;0.036;162.8;0;0;-21.2;82.2;23.91;27.16;28.52;29.05;944;0
Ribeirão Preto;2010-01-02 23:00:00;1.639;0.004;172;0;0;-22.03;81.2;23.75;26.51;27.99;28.72;945;0
Ribeirão Preto;2010-01-03 00:00:00;1.382;0.031;170.6;0;0;-23.3;78.88;23.63;25.92;27.52;28.41;945;0
Ribeirão Preto;2010-01-03 01:00:00;1.601;0;182.5;0;0;-26.78;82;22.85;25.14;27.05;28.12;945;0
Ribeirão Preto;2010-01-03 02:00:00;1.42;0;177.5;0;0;-28.65;82.9;22.35;24.46;26.57;27.82;946;0
Ribeirão Preto;2010-01-03 03:00:00;0.372;0;174.7;0;0;-30.05;87.4;21.64;23.84;26.1;27.53;946;0
Ribeirão Preto;2010-01-03 04:00:00;0.085;0;169.8;0;0;-30.66;90.9;21.07;23.31;25.67;27.23;946;0
Ribeirão Preto;2010-01-03 05:00:00;0.465;0.001;170.2;0;0;-31.2;94;20.31;22.85;25.27;26.94;947;0
Ribeirão Preto;2010-01-03 06:00:00;0.716;0;154.6;6.501;0;-30.98;94;20.31;22.48;24.9;26.66;949;0
Ribeirão Preto;2010-01-03 07:00:00;0.402;0.052;135.1;72;0;-27.36;87.5;22.06;22.49;24.61;26.4;948;0
Ribeirão Preto;2010-01-03 08:00:00;1.432;0.394;121;211.5;0;-14.53;76.39;24.53;23.53;24.56;26.17;946;0
Ribeirão Preto;2010-01-03 09:00:00;1.995;1.315;91.6;385.4;0;15.29;62.21;26.9;26.88;25.22;26.05;944;0
Ribeirão Preto;2010-01-03 10:00:00;3.353;2.182;39.34;526.3;0;46.02;56.14;28.48;30.97;26.74;26.2;943;0
