Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2009-01-01 00:00:00;1.887;0.59;174.9;0;0;-25.2;97.4;19.05;23.55;25.37;26.54;951;0
Ribeirão Preto;2009-01-01 01:00:00;1.599;0.251;181.9;0;0;-25.13;96.6;19.09;23.24;25.05;26.31;950;0
Ribeirão Preto;2009-01-01 02:00:00;4.08;1.76;185.3;0;0;-24.53;93.6;19.48;23.02;24.78;26.09;950;0
Ribeirão Preto;2009-01-01 03:00:00;1.007;0.626;178.2;0;0;-23.67;91.3;19.75;22.85;24.54;25.87;950;0
Ribeirão Preto;2009-01-01 04:00:00;0.697;0.526;138.4;0;0;-21.51;93.5;19.67;22.84;24.35;25.69;950;0
Ribeirão Preto;2009-01-01 05:00:00;1.392;0.386;150.8;0;0;-21.25;91.1;19.52;22.7;24.2;25.51;950;0
Ribeirão Preto;2009-01-01 06:00:00;1.018;0.063;185.3;2.178;0;-20.86;96.2;19.27;22.58;24.05;25.35;951;0
Ribeirão Preto;2009-01-01 07:00:00;0.48;0.178;339.8;36.16;0;-18.87;93.1;19.71;22.63;23.94;25.22;952;0
Ribeirão Preto;2009-01-01 08:00:00;0.978;0.691;31.84;106.2;0;-13.93;90.6;20.46;23.03;23.88;25.09;951;0
Ribeirão Preto;2009-01-01 09:00:00;1.383;1.217;309.7;318.7;0;-2.846;81.3;22.1;24.13;24.02;25.02;950;0
Ribeirão Preto;2009-01-01 10:00:00;1.425;1.262;341.8;377.6;0;11.7;75.8;23.35;25.84;24.47;25.02;949;0
Ribeirão Preto;2009-01-01 11:00:00;2.864;2.317;11.82;520.4;0;26.72;72.24;24.71;27.75;25.17;25.15;948;0
Ribeirão Preto;2009-01-01 12:00:00;3.938;3.079;2.122;691.7;0;38.09;71.71;25.54;29.51;26.07;25.42;947;0
Ribeirão Preto;2009-01-01 13:00:00;2.927;2.44;330;337.8;0;42.66;72.11;25.6;30.77;27.04;25.82;946;0
Ribeirão Preto;2009-01-01 14:00:00;2.913;2.472;318.8;489.8;0;33.65;70.59;26.4;30.73;27.71;26.27;946;0
Ribeirão Preto;2009-01-01 15:00:00;2.931;2.425;304.7;380.3;0;34.9;68.6;26.79;31.31;28.19;26.68;945;0
Ribeirão Preto;2009-01-01 16:00:00;2.043;1.667;289.5;346;0;31.39;65.27;27.48;31.45;28.61;27.06;944;0
Ribeirão Preto;2009-01-01 17:00:00;1.471;1.279;296.2;175;0;26.51;64.43;27.3;31.36;28.91;27.38;943;0
Ribeirão Preto;2009-01-01 18:00:00;1.086;0.827;258.8;69.51;0;15.58;66.6;26.81;30.52;29;27.65;943;0
