Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2017-01-01 00:00:00;0.01;0;0;0;0;8.25;72.7;23.25;34.48;30.55;29.47;\N;0
Ribeirão Preto;2017-01-01 01:00:00;0.13;0;0;0;0;9.19;79.33;22.36;34.2;30.51;29.49;\N;0
Ribeirão Preto;2017-01-01 02:00:00;0;0;0;0;0;9.43;82.7;22.12;33.94;30.46;29.49;\N;0
Ribeirão Preto;2017-01-01 03:00:00;0;0;0;0;0;9.18;86.1;21.88;33.73;30.41;29.52;\N;0
Ribeirão Preto;2017-01-01 04:00:00;0;0;0;0;0;9.54;89.6;21.04;33.54;30.34;29.54;\N;0
Ribeirão Preto;2017-01-01 05:00:00;0;0;0;0;0;9.76;91.1;20.68;33.34;30.27;29.54;\N;0
Ribeirão Preto;2017-01-01 06:00:00;0.02;0;0;5.206;0;10.05;92.3;20.47;33.15;30.2;29.54;\N;0
Ribeirão Preto;2017-01-01 07:00:00;0.09;0;0;105.7;0;9.06;90.3;22.16;33.01;30.13;29.55;\N;0
Ribeirão Preto;2017-01-01 08:00:00;0.44;0;0;242.7;0;4.404;80.1;23.96;33.07;30.06;29.59;\N;0
Ribeirão Preto;2017-01-01 09:00:00;1.006;0;0;469.2;0;-0.4;61.99;26.68;33.36;29.98;29.59;\N;0
Ribeirão Preto;2017-01-01 10:00:00;0.93;0;0;691.8;0;-6.333;55.5;28.31;33.84;29.95;29.59;\N;0
Ribeirão Preto;2017-01-01 11:00:00;1.649;0;0;659.2;0;-12.94;53.52;28.93;34.49;29.89;29.59;\N;0
Ribeirão Preto;2017-01-01 12:00:00;1.859;0;0;863;0;-19.1;49.67;29.52;35.21;29.9;29.57;\N;0
Ribeirão Preto;2017-01-01 13:00:00;1.58;0;0;897;0;-23.41;39.3;30.88;36.1;29.96;29.54;\N;0
Ribeirão Preto;2017-01-01 14:00:00;2.021;0;0;868;0;-23.04;37.85;31.54;37;30.03;29.54;\N;0
Ribeirão Preto;2017-01-01 15:00:00;2.514;0;0;773.8;0;-19.24;39.61;31.88;37.56;30.15;29.53;\N;0
Ribeirão Preto;2017-01-01 16:00:00;2.535;0;0;605;0;-13.36;38.13;32.13;37.66;30.28;29.52;\N;0
Ribeirão Preto;2017-01-01 17:00:00;2.479;0;0;380.5;0;-7.372;40;31.77;37.37;30.44;29.53;\N;0
Ribeirão Preto;2017-01-01 18:00:00;2.759;0;0;209.5;0;-2.113;41.75;30.91;36.92;30.58;29.53;\N;0
Ribeirão Preto;2017-01-01 19:00:00;1.89;0;0;59.42;0;1.442;45.5;29.68;36.41;30.68;29.54;\N;0
Ribeirão Preto;2017-01-01 20:00:00;1.98;0;0;0;0;4.298;49.89;28.38;35.94;30.77;29.55;\N;0
Ribeirão Preto;2017-01-01 21:00:00;2.193;0;0;0;0;5.902;46.13;27.92;35.46;30.82;29.59;\N;0
Ribeirão Preto;2017-01-01 22:00:00;1.691;0;0;0;0;6.651;59.98;26.04;35.04;30.83;29.6;\N;0
Ribeirão Preto;2017-01-01 23:00:00;1.246;0;0;0;0;6.87;68.24;24.7;34.73;30.8;29.6;\N;0
Ribeirão Preto;2017-01-02 00:00:00;0.25;0;0;0;0;7.368;72.61;23.96;34.48;30.77;29.65;\N;0
Ribeirão Preto;2017-01-02 01:00:00;0;0;0;0;0;8.42;73.33;23.66;34.25;30.71;29.65;\N;0
Ribeirão Preto;2017-01-02 02:00:00;0;0;0;0;0;9.01;78;22.8;34.04;30.66;29.68;\N;0
Ribeirão Preto;2017-01-02 03:00:00;0;0;0;0;0;8.77;79.05;22.63;33.84;30.6;29.71;\N;0
Ribeirão Preto;2017-01-02 04:00:00;0;0;0;0;0;9.47;82;22.01;33.67;30.54;29.71;\N;0
Ribeirão Preto;2017-01-02 05:00:00;0;0;0;0;0;9.77;86.2;21.31;33.48;30.46;29.71;\N;0
Ribeirão Preto;2017-01-02 06:00:00;0.37;0;0;3.972;0;9.88;88.8;20.77;33.29;30.4;29.71;\N;0
Ribeirão Preto;2017-01-02 07:00:00;2.452;0;0;58.98;0;7.887;88.3;21.38;33.17;30.33;29.71;\N;0
Ribeirão Preto;2017-01-02 08:00:00;3.066;0;0;185;0;5.063;87.3;22.21;33.16;30.25;29.73;\N;0
Ribeirão Preto;2017-01-02 09:00:00;1.852;0;0;405.4;0;1.74;71.8;24.99;33.29;30.19;29.73;\N;0
Ribeirão Preto;2017-01-02 10:00:00;0.91;0;0;523.9;0;-4.664;59.94;27.33;33.71;30.12;29.71;\N;0
Ribeirão Preto;2017-01-02 11:00:00;1.564;0;0;666.1;0;-10;57.43;28.28;34.33;30.09;29.7;\N;0
Ribeirão Preto;2017-01-02 12:00:00;1.463;0;0;729.7;0;-13.99;53.54;29.2;35.02;30.1;29.7;\N;0
Ribeirão Preto;2017-01-02 13:00:00;1.907;0;0;756.5;0;-18.28;49.96;30.14;35.82;30.1;29.7;\N;0
Ribeirão Preto;2017-01-02 14:00:00;2.309;0;0;672;0;-16.59;47.8;30.43;36.42;30.19;29.7;\N;0
Ribeirão Preto;2017-01-02 15:00:00;3.073;0;0;628;0;-14.17;47.25;30.34;36.74;30.27;29.7;\N;0
Ribeirão Preto;2017-01-02 16:00:00;2.63;0;0;481.1;0;-8.68;43.72;29.71;36.74;30.38;29.7;\N;0
Ribeirão Preto;2017-01-02 17:00:00;1.753;0;0;397.8;0;-5.74;40.01;30.36;36.55;30.49;29.7;\N;0
Ribeirão Preto;2017-01-02 18:00:00;1.256;0;0;202;0;-2.715;41.78;30.46;36.38;30.59;29.7;\N;0
Ribeirão Preto;2017-01-02 19:00:00;0.2;0;0;25.38;0;1.521;52.81;28.42;36.08;30.66;29.7;\N;0
Ribeirão Preto;2017-01-02 20:00:00;0;0;0;0;0;5.445;57.29;27.16;35.62;30.74;29.71;\N;0
Ribeirão Preto;2017-01-02 21:00:00;0.98;0;0;0;0;7.019;55.49;26.46;35.17;30.78;29.71;\N;0
Ribeirão Preto;2017-01-02 22:00:00;0.48;0;0;0;0;7.589;62.66;24.8;34.79;30.78;29.71;\N;0
Ribeirão Preto;2017-01-02 23:00:00;0;0;0;0;0;8.52;63.75;24.37;34.46;30.75;29.75;\N;0
Ribeirão Preto;2017-01-03 00:00:00;0;0;0;0;0;9.27;72.06;23.78;34.17;30.7;29.77;\N;0
Ribeirão Preto;2017-01-03 01:00:00;0;0;0;0;0;9.31;80.8;22.61;33.93;30.66;29.77;\N;0
Ribeirão Preto;2017-01-03 02:00:00;0;0;0;0;0;9.2;83.5;21.8;33.72;30.59;29.79;\N;0
Ribeirão Preto;2017-01-03 03:00:00;0;0;0;0;0;8.99;79.01;22.21;33.56;30.53;29.82;\N;0
Ribeirão Preto;2017-01-03 04:00:00;0;0;0;0;0;8.25;82.4;21.89;33.45;30.46;29.82;\N;0
Ribeirão Preto;2017-01-03 05:00:00;0;0;0;0;0;8.34;84.3;21.7;33.34;30.4;29.82;\N;0
Ribeirão Preto;2017-01-03 06:00:00;0;0;0;6.705;0;8.5;86.2;21.46;33.24;30.33;29.82;\N;0
Ribeirão Preto;2017-01-03 07:00:00;0.22;0;0;82.7;0;7.627;84.9;22.6;33.13;30.26;29.82;\N;0
