Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2021-01-01 00:00:00;0.25;0.2;191.1;0;0;-1.781;92.2;21.19;28.12;26.26;26.87;-523.1;0
Ribeirão Preto;2021-01-01 01:00:00;0.2;0;79.86;0;0;-2.779;98.7;20.07;28.03;26.3;26.87;-439;0
Ribeirão Preto;2021-01-01 02:00:00;0.2;0;58.85;0;0;-3.505;100;19.37;27.97;26.3;26.87;-458;0
Ribeirão Preto;2021-01-01 03:00:00;0.2;0;58.62;0;0;-4.213;100;19.01;27.88;26.3;26.87;-494.7;0
Ribeirão Preto;2021-01-01 04:00:00;0.2;0;99.4;0;0;-4.893;100;18.95;27.78;26.3;26.87;-528.5;0
Ribeirão Preto;2021-01-01 05:00:00;0.2;0.08;184.9;0;0;-5.526;100;18.95;27.69;26.3;26.87;-464.2;0.25
Ribeirão Preto;2021-01-01 06:00:00;0.2;0.08;161.9;7.703;0;-6.019;100;18.66;27.58;26.3;26.87;-376.4;0
Ribeirão Preto;2021-01-01 07:00:00;0.2;0.04;156.9;74.15;0;-6.251;100;19.2;27.49;26.3;26.86;-182.6;0
Ribeirão Preto;2021-01-01 08:00:00;0.4;0.2;166.9;259;0;-6.314;95.8;20.88;27.42;26.3;26.86;5.301;0
Ribeirão Preto;2021-01-01 09:00:00;0.2;0.17;70.13;369.3;0;-5.866;84.7;23.72;27.38;26.22;26.87;249.4;0
Ribeirão Preto;2021-01-01 10:00:00;0.38;0.2;141.1;515.7;0;-4.497;79.48;25.22;27.38;26.18;26.86;349.8;0
Ribeirão Preto;2021-01-01 11:00:00;0.51;0.2;301;364.7;0;-2.327;79.55;25.53;27.47;26.17;26.84;-515.5;0
