Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2020-01-01 00:00:00;0.2;0;310.7;0;0;-4.285;87;23.25;32.09;30.33;29.26;-3826;0
Ribeirão Preto;2020-01-01 01:00:00;0.2;0.06;305.5;0;0;-4.732;89.1;22.84;31.91;30.31;29.26;-3773;0
Ribeirão Preto;2020-01-01 02:00:00;1.309;0.24;292.2;0;0;-4.538;88.3;22.84;31.76;30.22;29.26;-3788;0
Ribeirão Preto;2020-01-01 03:00:00;1;0.21;299.7;0;0;-4.217;89.4;22.24;31.67;30.22;29.26;-3805;0
Ribeirão Preto;2020-01-01 04:00:00;0.2;0.2;324.6;0;0;-4.494;89.2;21.98;31.57;30.22;29.26;-3749;0
Ribeirão Preto;2020-01-01 05:00:00;0.2;0.03;30.31;0;0;-4.979;92.9;21.41;31.43;30.17;29.27;-3715;0
Ribeirão Preto;2020-01-01 06:00:00;0.2;0.02;69.12;8.66;0;-5.292;96.2;20.99;31.28;30.1;29.31;-3640;0
Ribeirão Preto;2020-01-01 07:00:00;0.43;0.2;108.5;131.2;0;-5.29;86.8;23.47;31.15;30.1;29.31;-4057;0
Ribeirão Preto;2020-01-01 08:00:00;1.188;0.2;80.1;347.2;0;-4.145;76.41;25.49;31.11;30.06;29.32;-4417;0
Ribeirão Preto;2020-01-01 09:00:00;1.481;0.2;43.58;558.5;0;-1.853;71.05;27.15;31.21;29.99;29.32;-4360;0
Ribeirão Preto;2020-01-01 10:00:00;1.416;0.2;11.09;741.4;0;0.98;67.77;28.29;31.45;29.99;29.32;-4215;0
Ribeirão Preto;2020-01-01 11:00:00;1.594;0.2;19.98;884;0;3.796;64.67;29.32;31.83;29.94;29.32;-4132;0
Ribeirão Preto;2020-01-01 12:00:00;1.849;0.25;15.57;863;0;6.683;61.37;30.44;32.31;29.93;29.31;-4157;0
Ribeirão Preto;2020-01-01 13:00:00;1.727;0.55;346.4;931;0;8.54;56.91;31.28;32.77;29.94;29.3;-4209;0
Ribeirão Preto;2020-01-01 14:00:00;1.751;0.2;350.9;772.8;0;9.92;53.15;31.93;33.23;29.99;29.28;-4202;0
Ribeirão Preto;2020-01-01 15:00:00;1.552;0.21;332.9;837;0;9.38;48.8;32.73;33.56;30.01;29.26;-4095;0
Ribeirão Preto;2020-01-01 16:00:00;1.023;0.21;324.6;242.8;0;7.761;54.13;31.43;33.77;30.1;29.26;-4073;0
Ribeirão Preto;2020-01-01 17:00:00;1.509;0.28;292.2;119.6;0;4.407;64.24;29.64;33.73;30.19;29.26;-4237;0
Ribeirão Preto;2020-01-01 18:00:00;1.837;0.25;271.8;71.49;0;1.962;68.19;27.39;33.56;30.27;29.26;-4258;0
Ribeirão Preto;2020-01-01 19:00:00;0.75;0.2;277.7;22.01;0;-0.02;70.16;26.6;33.33;30.34;29.27;-4170;0
Ribeirão Preto;2020-01-01 20:00:00;0.35;0.2;221;0.01;0;-1.305;75.32;25.91;33.08;30.43;29.31;-4082;0
Ribeirão Preto;2020-01-01 21:00:00;0.47;0.2;199.3;0;0;-2.09;74.17;25.99;32.84;30.44;29.32;-3992;0
Ribeirão Preto;2020-01-01 22:00:00;0.2;0.2;177.8;0;0;-2.599;86.8;24.33;32.64;30.44;29.32;-3899;0.76
Ribeirão Preto;2020-01-01 23:00:00;0.2;0.09;277.9;0;0;-2.929;93;23.28;32.46;30.44;29.34;-3905;0
Ribeirão Preto;2020-01-02 00:00:00;0.2;0.01;279.6;0;0;-3.274;93.1;23.06;32.29;30.44;29.37;-4083;0
Ribeirão Preto;2020-01-02 01:00:00;0.2;0.06;301.5;0;0;-3.666;93.5;22.67;32.14;30.44;29.37;-4230;0
Ribeirão Preto;2020-01-02 02:00:00;0.2;0.1;301.6;0;0;-3.853;89.6;22.76;31.97;30.44;29.37;-4338;0
Ribeirão Preto;2020-01-02 03:00:00;0.2;0.04;260.5;0;0;-4.024;92.3;22.2;31.84;30.43;29.37;-4388;0
Ribeirão Preto;2020-01-02 04:00:00;0.2;0;199;0;0;-4.392;94.3;21.83;31.71;30.36;29.37;-4448;0
Ribeirão Preto;2020-01-02 05:00:00;0.2;0;207.6;0;0;-4.965;96.7;21.53;31.54;30.33;29.42;-4461;0
Ribeirão Preto;2020-01-02 06:00:00;0.2;0;302.8;2.538;0;-5.066;96.4;21.83;31.39;30.33;29.43;-4503;0
Ribeirão Preto;2020-01-02 07:00:00;0.2;0.17;328.4;37;0;-4.523;95.5;22.39;31.31;30.24;29.43;-4566;0
Ribeirão Preto;2020-01-02 08:00:00;0.65;0.2;317.3;152.4;0;-3.622;93.1;23.26;31.29;30.22;29.43;-4498;0
