Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2003-01-01 01:00:00;0;0.705;129.8;8.33;2.844;-8.56;99.8;22.33;27.45;28.56;30.36;940;0
Ribeirão Preto;2003-01-01 02:00:00;0.011;0.82;107.2;8.31;2.835;-9.53;99.9;22.44;27.15;28.3;30.53;940;0
Ribeirão Preto;2003-01-01 03:00:00;0;0.557;116.1;8.29;2.848;-9.7;100;22.29;26.84;28;29.78;939;0
Ribeirão Preto;2003-01-01 04:00:00;0;0.464;116.2;8.13;2.599;-10.29;100;21.91;26.58;27.9;29.73;940;0
Ribeirão Preto;2003-01-01 05:00:00;0;0.385;116.2;7.95;2.328;-10.51;100;21.6;26.27;27.64;29.23;940;0
Ribeirão Preto;2003-01-01 06:00:00;0;0.565;115.2;7.69;2.017;-11.08;100;21.18;26;27.4;28.82;940;0
Ribeirão Preto;2003-01-01 07:00:00;0;0.843;153.1;8.02;2.304;-11.64;99.5;23.11;25.73;27.14;28.74;938;0
Ribeirão Preto;2003-01-01 08:00:00;0.049;1.046;240.9;9.31;4.029;-11.86;88.7;26.53;25.79;27.01;28.74;937;0
Ribeirão Preto;2003-01-01 09:00:00;0.091;1.015;21.26;10.62;4.966;-10.68;73.3;29.6;26.39;26.86;28.49;935;0
Ribeirão Preto;2003-01-01 10:00:00;0.089;1.373;142.4;11.43;5.408;-8;68.21;30.21;27.54;26.86;28.47;935;0
Ribeirão Preto;2003-01-01 11:00:00;0.191;1.332;161.1;12;5.707;-3.214;64.11;31.73;28.99;27.17;28.52;934;0
Ribeirão Preto;2003-01-01 12:00:00;0.066;1.358;87;12.22;5.784;2.234;65.53;31.02;30.38;27.65;28.94;933;0
Ribeirão Preto;2003-01-01 13:00:00;0.103;1.36;68.61;12.19;5.742;5.955;61.42;32.89;31.13;28.19;29.05;933;0
Ribeirão Preto;2003-01-01 14:00:00;0.125;1.283;23.61;12.72;6.049;9.29;57.81;34.52;32.31;28.72;29.6;931;0
Ribeirão Preto;2003-01-01 15:00:00;0.917;2.158;134.6;12.78;6.008;13.49;68.24;30.97;33.59;29.34;29.74;931;0
Ribeirão Preto;2003-01-01 16:00:00;0.207;1.546;182.1;12.08;5.604;15.67;78.6;28.53;33.69;29.93;30.39;929;0.8
Ribeirão Preto;2003-01-01 17:00:00;0.017;1.139;196.4;13.11;6.267;14.81;64.31;33.32;33.81;30.38;30.74;928;0
Ribeirão Preto;2003-01-01 18:00:00;0.032;0.961;254.9;13.3;6.294;14.6;68.34;32.18;34.03;30.61;31.15;929;0
Ribeirão Preto;2003-01-01 19:00:00;0;0.938;238.4;12.19;5.635;13.14;79.4;29.23;33.52;30.93;30.93;931;0
Ribeirão Preto;2003-01-01 20:00:00;0;0.818;238.5;10.74;4.85;9.41;87.3;25.92;32.55;30.98;31.28;932;0
Ribeirão Preto;2003-01-01 21:00:00;0;0.67;238.4;9.83;4.349;5.532;88.8;24.8;31.53;30.9;31.24;934;0
Ribeirão Preto;2003-01-01 22:00:00;0.011;0.518;237.9;9.25;3.972;2.095;92;24.03;30.54;30.56;31.38;936;0
Ribeirão Preto;2003-01-01 23:00:00;0;0.461;237.9;8.82;3.581;-1.413;94.5;23.59;29.84;30.3;31.56;937;0
Ribeirão Preto;2003-01-02 00:00:00;0.022;0.742;237.6;8.49;3.076;-4.203;97.9;23.02;29.13;29.85;30.76;937;0
Ribeirão Preto;2003-01-02 01:00:00;0.022;1.053;111.9;8.29;2.807;-6.225;98.9;22.57;28.52;29.5;30.72;938;0
Ribeirão Preto;2003-01-02 02:00:00;0.011;1.067;117.3;8.19;2.704;-7.75;99.9;22.28;27.96;29.12;30.79;938;0
Ribeirão Preto;2003-01-02 03:00:00;0.034;0.949;105.3;8.04;2.54;-9.28;100;21.76;27.43;28.79;30.55;938;0
Ribeirão Preto;2003-01-02 04:00:00;0.013;0.851;116.4;7.95;2.426;-10.11;100;21.78;27.02;28.5;29.58;938;0
Ribeirão Preto;2003-01-02 05:00:00;0;0.756;92.6;8;2.481;-10.9;100;21.9;26.7;28.14;29.63;940;0
Ribeirão Preto;2003-01-02 06:00:00;0.153;1.135;95.4;8.11;2.682;-11.4;100;22.06;26.5;27.87;29.42;940;0
Ribeirão Preto;2003-01-02 07:00:00;0.51;1.35;105.6;8.38;3.333;-11.5;100;22.26;26.29;27.69;29.58;940;0
Ribeirão Preto;2003-01-02 08:00:00;0.577;1.195;118.2;8.78;3.851;-11.43;98.8;23.17;26.17;27.46;28.81;940;0
Ribeirão Preto;2003-01-02 09:00:00;0.644;1.472;136.4;9.18;4.133;-10.68;95.4;24.05;26.32;27.33;29.01;940;0
Ribeirão Preto;2003-01-02 10:00:00;1.864;2.08;132.6;9.46;4.315;-9.69;95.3;24.16;26.59;27.27;29.35;939;0
Ribeirão Preto;2003-01-02 11:00:00;1.673;2.298;129.1;9.78;4.592;-8.48;92.1;24.7;26.76;27.18;28.81;938;0
Ribeirão Preto;2003-01-02 12:00:00;0.121;1.265;136.3;10;4.688;-7.55;88.4;25.4;26.94;27.14;28.56;936;0
Ribeirão Preto;2003-01-02 13:00:00;0.317;1.45;136.6;10.41;4.909;-6.553;79.7;28.16;27.24;27.18;28.76;934;0
Ribeirão Preto;2003-01-02 14:00:00;1.13;2.072;115.7;11.39;5.421;-4.785;66.26;30.81;28.46;27.27;28.76;932;0
Ribeirão Preto;2003-01-02 15:00:00;0.547;1.872;121.5;11.9;5.633;0.748;69.35;30.22;30.58;27.63;28.87;931;0
Ribeirão Preto;2003-01-02 16:00:00;1.086;2.214;131.2;11.49;5.343;5.81;79.1;27.45;31.6;28.26;29.24;931;0
Ribeirão Preto;2003-01-02 17:00:00;1.019;2.151;130.8;10.89;5.016;7.85;84.6;26.42;31.58;28.88;29.68;931;0
Ribeirão Preto;2003-01-02 18:00:00;0;1.009;141.1;10.71;4.923;6.865;80;27.33;31.17;29.19;29.71;932;0
Ribeirão Preto;2003-01-02 19:00:00;0.011;0.567;150.7;10.36;4.722;4.966;83.1;26.2;30.76;29.28;29.84;933;0
Ribeirão Preto;2003-01-02 20:00:00;0.011;0.653;150.1;9.55;4.227;3.722;91.2;23.9;30.08;29.29;30.16;936;0
Ribeirão Preto;2003-01-02 21:00:00;0;0.791;104.4;9.05;3.884;0.863;96.6;23.33;29.36;29.2;30.18;937;0
Ribeirão Preto;2003-01-02 22:00:00;0.011;0.699;39.38;8.8;3.679;-1.909;99;23.09;28.66;29.01;30.12;938;0
Ribeirão Preto;2003-01-02 23:00:00;0;0.569;39.97;8.63;3.456;-4.312;100;22.95;28.2;28.72;30.33;937;0
Ribeirão Preto;2003-01-03 00:00:00;0;0.476;39.98;8.47;3.187;-5.984;100;22.67;27.74;28.45;29.83;938;0
Ribeirão Preto;2003-01-03 01:00:00;0;0.892;39.49;8.33;2.983;-6.823;100;22.3;27.39;28.29;29.56;937;0
Ribeirão Preto;2003-01-03 02:00:00;0;0.693;38.36;8.15;2.717;-7.96;100;21.8;27.05;28;29.03;938;0
Ribeirão Preto;2003-01-03 03:00:00;0;0.503;38.66;7.92;2.392;-8.69;100;21.4;26.66;27.74;28.98;938;0
Ribeirão Preto;2003-01-03 04:00:00;0;0.522;38.84;7.73;2.139;-9.6;100;21.29;26.28;27.45;29.19;939;0
Ribeirão Preto;2003-01-03 05:00:00;0.011;0.721;38.59;7.59;1.992;-9.98;100;21.02;25.92;27.25;28.85;940;0
Ribeirão Preto;2003-01-03 06:00:00;0;0.441;38.66;7.31;1.757;-10.64;100;20.62;25.65;27.07;28.4;940;0
Ribeirão Preto;2003-01-03 07:00:00;0;0.839;82.4;7.69;2.028;-11.18;99.6;22.89;25.4;26.86;28.39;938;0
Ribeirão Preto;2003-01-03 08:00:00;0;1.147;141.5;8.74;3.535;-11.67;95.8;23.74;25.48;26.75;28.65;940;0
Ribeirão Preto;2003-01-03 09:00:00;0.866;1.834;119.7;9.18;4.079;-10.77;93.8;24.37;25.73;26.53;28.12;939;0
Ribeirão Preto;2003-01-03 10:00:00;1.952;2.555;89.9;9.46;4.373;-9.35;95.9;22.96;26.08;26.48;28.16;940;1.2
Ribeirão Preto;2003-01-03 11:00:00;2.394;2.224;115.3;9.17;4.227;-7.86;100;22.01;26.2;26.57;28.08;940;0.6
Ribeirão Preto;2003-01-03 12:00:00;2.697;2.246;130.3;9.38;4.414;-7.05;100;22.55;26.4;26.59;28.11;939;0
Ribeirão Preto;2003-01-03 13:00:00;1.902;1.993;139.9;9.61;4.554;-6.473;98.7;23.09;26.65;26.58;28.05;937;0
Ribeirão Preto;2003-01-03 14:00:00;0.703;1.886;144.6;9.96;4.756;-5.36;94.8;24.14;27;26.71;28.21;935;0
Ribeirão Preto;2003-01-03 15:00:00;0.714;2.026;144.1;10.71;5.216;-4.119;85.1;26.67;27.43;26.81;28.13;933;0
Ribeirão Preto;2003-01-03 16:00:00;0.697;2.155;118.6;11.59;5.652;-1.831;78.4;27.91;28.56;26.93;28.23;932;0
Ribeirão Preto;2003-01-03 17:00:00;0.269;1.756;95.3;11.97;5.767;2.038;72.3;29.22;29.54;27.3;28.31;931;0
Ribeirão Preto;2003-01-03 18:00:00;0.102;1.243;114.4;12.35;5.917;4.133;71;30.06;30;27.7;28.77;931;0
Ribeirão Preto;2003-01-03 19:00:00;0;0.728;138.7;11.29;5.282;4.921;84.6;26.12;30.01;28.09;28.88;933;0
Ribeirão Preto;2003-01-03 20:00:00;0;0.3;138.5;10.25;4.702;4.426;92.5;24.2;29.44;28.32;29.31;934;0
Ribeirão Preto;2003-01-03 21:00:00;0;0.542;138.5;9.69;4.395;2.458;97;23.71;28.74;28.27;29.12;936;0
Ribeirão Preto;2003-01-03 22:00:00;0;0.781;150.1;9.4;4.222;-0.345;97.7;23.56;28.22;28.19;28.46;937;0
Ribeirão Preto;2003-01-03 23:00:00;0;0.576;155;9.16;4.057;-2.621;98.1;23.19;27.73;27.97;28.77;937;0
Ribeirão Preto;2003-01-04 00:00:00;0;0.773;154.5;8.93;3.898;-4.375;99.4;22.72;27.33;27.87;29.38;937;0
Ribeirão Preto;2003-01-04 01:00:00;0.054;0.878;133.2;8.81;3.81;-5.837;99.1;22.55;26.93;27.59;29.11;936;0
Ribeirão Preto;2003-01-04 02:00:00;0.647;1.426;117.4;8.71;3.778;-6.639;99.6;21.83;26.6;27.38;28.86;937;0
Ribeirão Preto;2003-01-04 03:00:00;0.675;1.1;124.8;8.53;3.617;-7.56;100;21.11;26.27;27.16;28.58;937;0
Ribeirão Preto;2003-01-04 04:00:00;0.362;1.146;140.9;8.57;3.799;-8.34;100;21.01;25.94;26.96;28.55;938;0
Ribeirão Preto;2003-01-04 05:00:00;0.781;1.405;131.5;8.85;4.215;-9.08;100;20.91;25.69;26.75;29.03;938;3.2
Ribeirão Preto;2003-01-04 06:00:00;0.253;1.365;124.7;9.05;4.389;-9.58;100;20.74;25.42;26.59;28.19;939;0.6
Ribeirão Preto;2003-01-04 07:00:00;0.27;1.69;130.8;9.31;4.579;-9.88;100;20.92;25.18;26.43;28.01;940;0
Ribeirão Preto;2003-01-04 08:00:00;0.792;2.015;120.1;9.71;4.873;-10.47;100;21.13;25.03;26.25;27.75;939;0.4
Ribeirão Preto;2003-01-04 09:00:00;0.585;1.955;110.5;9.96;5.007;-10.21;100;21.61;24.98;26.11;27.71;940;0.4
Ribeirão Preto;2003-01-04 10:00:00;0.507;1.957;96.3;10.14;5.069;-10.09;100;22.64;25.08;26.02;27.32;938;1.8
Ribeirão Preto;2003-01-04 11:00:00;1.321;2.291;97.6;10.65;5.365;-9.26;98.2;23.7;25.54;25.97;27.64;938;2.2
Ribeirão Preto;2003-01-04 12:00:00;2.585;2.387;106.6;10.54;5.292;-7.43;100;22.31;25.99;26.02;27.66;937;2.2
Ribeirão Preto;2003-01-04 13:00:00;2.639;3.004;97.3;10.93;5.527;-6.359;97.8;24.45;26.23;26.12;27.91;936;0
Ribeirão Preto;2003-01-04 14:00:00;2.724;3.039;104.1;11.05;5.539;-4.838;98.4;23.55;26.76;26.14;27.65;935;0.2
Ribeirão Preto;2003-01-04 15:00:00;2.156;2.922;107.6;11.15;5.607;-3.408;96.5;24.02;27.03;26.34;27.81;935;0
Ribeirão Preto;2003-01-04 16:00:00;1.629;2.508;120.7;11.27;5.668;-2.404;96.1;24.46;27.27;26.53;27.78;933;0
Ribeirão Preto;2003-01-04 17:00:00;0.817;2.081;115;11.35;5.676;-1.698;95;24.65;27.46;26.68;28.05;933;0
Ribeirão Preto;2003-01-04 18:00:00;2.268;2.517;91.5;10.87;5.396;-1.368;99.6;22.72;27.38;26.74;28.16;934;0.6
Ribeirão Preto;2003-01-04 19:00:00;1.485;2.122;90.8;10.55;5.269;-2.093;100;22.32;27.03;26.87;28.37;937;0
Ribeirão Preto;2003-01-04 20:00:00;1.513;1.667;87.7;10.47;5.254;-3.88;100;22.07;26.57;26.8;28.2;937;8.8
Ribeirão Preto;2003-01-04 21:00:00;1.333;1.514;77;10.35;5.198;-5.845;100;21.46;25.95;26.62;28.04;938;1
Ribeirão Preto;2003-01-04 22:00:00;0.954;1.423;101.7;10.36;5.207;-7.52;100;21.69;25.48;26.4;27.99;938;0.2
Ribeirão Preto;2003-01-04 23:00:00;2.407;2.364;105.2;10.53;5.339;-8.65;100;21.57;25.19;26.13;27.93;938;0
Ribeirão Preto;2003-01-05 00:00:00;3.07;2.833;100.3;10.69;5.444;-9.18;100;21.28;24.96;25.87;27.62;938;0
Ribeirão Preto;2003-01-05 01:00:00;3.502;3.275;91.4;10.74;5.469;-9.72;100;21.03;24.72;25.76;27.45;938;0
Ribeirão Preto;2003-01-05 02:00:00;2.412;2.37;90.1;10.81;5.525;-10;100;20.98;24.48;25.62;26.65;937;0
Ribeirão Preto;2003-01-05 03:00:00;1.766;1.869;106.9;10.77;5.494;-10.37;100;20.81;24.26;25.46;27.05;937;0
Ribeirão Preto;2003-01-05 04:00:00;2.252;2.092;103.8;10.81;5.525;-10.71;100;20.71;24.08;25.27;26.96;937;0
Ribeirão Preto;2003-01-05 05:00:00;2.18;2.076;109.7;10.83;5.542;-10.86;100;20.72;23.93;25.13;26.89;938;0
Ribeirão Preto;2003-01-05 06:00:00;2.392;2.234;110.3;10.91;5.592;-11.05;100;20.76;23.81;24.99;26.88;938;0
