Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2007-01-01 00:00:00;0;0.835;121.7;0.007;0.059;-9.09;100;19.56;53.25;21.58;23.93;944;0
Ribeirão Preto;2007-01-01 01:00:00;0;1.164;141.8;0.007;0.06;-9.23;100;19.59;53.15;21.54;23.05;943;0
Ribeirão Preto;2007-01-01 02:00:00;0;0.865;149.1;0.007;0.06;-9.89;100;19.41;53.03;21.45;22.7;942;0
Ribeirão Preto;2007-01-01 03:00:00;0;0.864;149.1;0.007;0.06;-9.02;100;19.31;52.96;21.37;22.72;942;0
Ribeirão Preto;2007-01-01 04:00:00;0;0.743;149.1;0.007;0.06;-9.42;100;19.14;52.83;21.33;22.84;942;0
Ribeirão Preto;2007-01-01 05:00:00;0;1.309;143.1;0.007;0.06;-8.06;100;19.25;52.87;21.29;23.05;942;0
Ribeirão Preto;2007-01-01 06:00:00;0.011;1.88;125.4;0.003;0.06;-9.7;100;19.05;52.73;21.1;23.25;943;0
Ribeirão Preto;2007-01-01 07:00:00;0.011;1.988;125.6;0.006;0.061;-7.1;100;19.18;52.95;20.97;23.65;944;0
Ribeirão Preto;2007-01-01 08:00:00;0.011;2.167;126.1;0.006;0.063;0.64;100;19.75;53.72;21.15;23.27;944;0
Ribeirão Preto;2007-01-01 09:00:00;0;2.163;134.2;0.006;0.031;9.27;100;20.63;54.9;21.52;23.44;944;0
Ribeirão Preto;2007-01-01 10:00:00;0;3.166;125;0.007;0;19.2;100;21.02;56.49;22.23;23.65;944;0
Ribeirão Preto;2007-01-01 11:00:00;0.011;2.319;135.3;0.006;0;12.18;99.9;20.96;56.51;22.8;24;942;0
Ribeirão Preto;2007-01-01 12:00:00;0.022;2.698;127.7;0.006;0;9.08;99.8;21.32;56.5;23.13;24.45;943;0
Ribeirão Preto;2007-01-01 13:00:00;0;2.695;128.2;0.006;0;8.56;100;21.3;56.6;23.11;24.35;942;0
Ribeirão Preto;2007-01-01 14:00:00;0;1.765;144.7;0.006;0;15.99;100;21.8;57.51;23.49;24.32;941;0
Ribeirão Preto;2007-01-01 15:00:00;0;1.564;146.1;0.006;0;23.75;100;22.18;58.58;23.97;24.7;940;0
Ribeirão Preto;2007-01-01 16:00:00;0;1.269;148.9;0.006;0;5.015;100;21.01;57.32;24.28;25.06;940;0
Ribeirão Preto;2007-01-01 17:00:00;0;0.945;172.7;0.006;0.039;-0.619;100;20.56;56.48;24.03;24.97;940;0
Ribeirão Preto;2007-01-01 18:00:00;0;1.031;302.5;0.006;0.065;-7.02;100;20.35;55.56;23.6;25.16;941;0
Ribeirão Preto;2007-01-01 19:00:00;0;2.007;122.1;0.006;0.064;-15.85;100;19.41;54.27;23.04;24.49;942;0
Ribeirão Preto;2007-01-01 20:00:00;0;1.093;132.3;0.006;0.063;-15.12;100;19.2;53.64;22.34;23.8;943;0
Ribeirão Preto;2007-01-01 21:00:00;0;0.863;129;0.006;0.063;-12.16;100;19.15;53.5;22.02;23.84;944;0
Ribeirão Preto;2007-01-01 22:00:00;0;0.744;103.4;0.006;0.063;-11.86;100;19.18;53.27;21.8;22.99;945;0
Ribeirão Preto;2007-01-01 23:00:00;0;0.59;102.9;0.006;0.064;-10.73;100;19.2;53.16;21.59;22.79;945;0
Ribeirão Preto;2007-01-02 00:00:00;0;0.716;102.8;0.006;0.064;-10.44;100;19.16;52.87;21.34;22.59;945;0
Ribeirão Preto;2007-01-02 01:00:00;0;0.727;103.1;0.006;0.065;-9.35;100;19.12;52.79;21.3;23.34;945;0
Ribeirão Preto;2007-01-02 02:00:00;0;0.852;103.2;0.006;0.065;-8.68;100;19.14;52.7;21.2;23.17;945;0
Ribeirão Preto;2007-01-02 03:00:00;0;1.022;110;0.006;0.065;-7.98;100;19.17;52.62;21.03;23.26;945;0
Ribeirão Preto;2007-01-02 04:00:00;0;0.906;139.3;0.006;0.065;-7.55;100;19.19;52.56;20.83;23.15;945;0
Ribeirão Preto;2007-01-02 05:00:00;0;0.813;139.6;0.006;0.066;-7.73;100;19.14;52.48;20.75;23.08;945;0
Ribeirão Preto;2007-01-02 06:00:00;1.348;0.812;0;0.597;\N;-28.83;83.8;21.18;25.03;25.86;26.85;-2983;0
Ribeirão Preto;2007-01-02 07:00:00;0.864;0.609;0;19.5;\N;-22.87;83.6;21.22;25.01;25.77;26.72;-2983;0.5
Ribeirão Preto;2007-01-02 08:00:00;1.482;0.875;0;74.3;\N;-8.26;83.2;21.44;25.33;25.82;26.62;-2938;0.5
Ribeirão Preto;2007-01-02 09:00:00;1.548;0.947;0;191.9;\N;22.91;82.1;22.14;26.08;26.09;26.61;-2852;0.5
Ribeirão Preto;2007-01-02 10:00:00;1.347;0.882;0;186.8;\N;20.79;81.8;22.25;27.08;26.74;26.74;-2818;1
Ribeirão Preto;2007-01-02 11:00:00;1.241;0.758;0;244.1;\N;38.59;81.7;22.92;27.64;27.13;26.96;-2737;0
Ribeirão Preto;2007-01-02 12:00:00;1.387;0.942;0;606.1;\N;137.7;79.8;25.24;29.79;27.97;27.21;-2498;0
Ribeirão Preto;2007-01-02 13:00:00;1.157;0.78;0;258.4;\N;21.23;82.2;24.46;30.42;29.33;27.8;-2565;3.5
Ribeirão Preto;2007-01-02 14:00:00;0.929;0.697;0;390.8;\N;61.48;80.2;25.01;30.28;29.29;28.24;-2567;0
Ribeirão Preto;2007-01-02 15:00:00;1.243;0.798;0;47.53;\N;-51.71;82.8;22.35;29.07;29.3;28.52;-2677;6.5
Ribeirão Preto;2007-01-02 16:00:00;0.532;0.491;0;121.5;\N;-18.63;82.9;22.4;27.88;28.39;28.47;-2632;0.5
Ribeirão Preto;2007-01-02 17:00:00;0.668;0.561;0;258.7;\N;29.87;80.8;24.16;28.67;28.37;28.29;-2500;0
Ribeirão Preto;2007-01-02 18:00:00;0.593;0.495;0;128.4;\N;0.333;79.1;24.56;28.77;28.63;28.32;-2479;0
Ribeirão Preto;2007-01-02 19:00:00;0.448;0.447;0;34.33;\N;-28.59;79.5;23.46;27.91;28.33;28.33;-2509;0
