Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2005-01-01 00:00:00;0.313;0.658;34.23;0.007;0.034;-28.91;100;20.52;29.55;27.48;30.21;941;0
Ribeirão Preto;2005-01-01 01:00:00;0.313;0.687;57.44;0.006;0.032;-28.66;100;20.24;28.94;26.8;29.15;942;0
Ribeirão Preto;2005-01-01 02:00:00;0.302;0.62;118;0.006;0.03;-28.36;100;19.77;28.29;26.16;29.08;941;0
Ribeirão Preto;2005-01-01 03:00:00;0.302;0.61;118;0.006;0.028;-28.01;100;19.46;27.75;25.68;29.1;941;0
Ribeirão Preto;2005-01-01 04:00:00;0.28;0.654;110.6;0.007;0.027;-27.4;100;19.35;27.32;25.24;28.02;942;0
Ribeirão Preto;2005-01-01 05:00:00;0.323;0.64;358.3;0.006;0.027;-24.97;100;19.78;27.15;24.82;27.86;942;0
Ribeirão Preto;2005-01-01 06:00:00;0.313;0.54;45.62;0.039;0.028;-24.15;100;19.58;26.89;24.6;27.37;942;0
Ribeirão Preto;2005-01-01 07:00:00;0.323;0.695;43.86;0.334;0.033;-20.91;99.8;21.35;26.98;24.26;27.23;942;0
Ribeirão Preto;2005-01-01 08:00:00;0.302;0.818;43.53;0.661;0.043;-5.942;92.9;24.87;28.6;24.45;27.31;940;0
Ribeirão Preto;2005-01-01 09:00:00;0.313;0.933;251.3;0.791;0.05;16.01;83.9;27.77;31.45;25.22;27.16;938;0
Ribeirão Preto;2005-01-01 10:00:00;0.302;0.939;325.9;0.801;0.055;34.38;77.2;29.76;34.48;26.63;27.49;937;0
Ribeirão Preto;2005-01-01 11:00:00;0.313;1.08;256.5;0.623;0.058;60.36;72.8;31.36;38.43;28.62;28.02;935;0
Ribeirão Preto;2005-01-01 12:00:00;0.291;0.934;343.3;0.249;0.06;65.25;66.63;32.19;40.64;30.66;29.08;933;0
Ribeirão Preto;2005-01-01 13:00:00;0.302;0.974;355.4;0.383;0.062;78.2;58.43;34.51;43.38;32.38;30.2;932;0
Ribeirão Preto;2005-01-01 14:00:00;0.313;1.026;42.75;0.194;0.063;74.1;61.13;33.51;44.72;34.37;31.41;931;0
Ribeirão Preto;2005-01-01 15:00:00;0.306;2.366;133.1;0.034;0.055;23.6;80.6;25.58;41;34.62;32.35;935;8.4
Ribeirão Preto;2005-01-01 16:00:00;0.313;1.638;344.9;0.006;0.04;-70.1;100;18.77;32.2;31.77;32.78;939;27.8
Ribeirão Preto;2005-01-01 17:00:00;0.313;1.03;1.019;0.006;0.037;-52.87;100;19.46;30.03;28.72;31.13;938;0.4
Ribeirão Preto;2005-01-01 18:00:00;0.313;2.221;269.2;0.006;0.037;-36.92;100;19.87;29.83;27.72;30.55;941;0
Ribeirão Preto;2005-01-01 19:00:00;0.313;0.895;266.4;0.008;0.035;-36.85;100;19.31;28.97;27.01;29.74;942;0
Ribeirão Preto;2005-01-01 20:00:00;0.28;0.984;248;0.005;0.033;-35.55;100;18.97;28.26;26.3;29.29;942;0
Ribeirão Preto;2005-01-01 21:00:00;0.313;1.193;341.2;0.007;0.033;-34.4;100;18.97;27.66;25.61;29.06;942;0
Ribeirão Preto;2005-01-01 22:00:00;0.313;1.771;338.3;0.007;0.034;-33.63;99;19.4;27.14;25.2;28.09;943;0
Ribeirão Preto;2005-01-01 23:00:00;0.302;1.294;313.1;0.008;0.035;-34.45;96.9;19.5;26.51;24.6;27.73;944;0
Ribeirão Preto;2005-01-02 00:00:00;0.313;0.864;312.5;0.008;0.035;-32.27;98.4;19.22;26.1;24.08;26.94;944;0
Ribeirão Preto;2005-01-02 01:00:00;0.323;1.431;168.8;0.007;0.035;-30.66;99.3;19.19;25.83;23.7;26.66;944;0
Ribeirão Preto;2005-01-02 02:00:00;0.313;0.949;295;0.007;0.035;-29.07;100;18.73;25.6;23.33;26.46;944;0
Ribeirão Preto;2005-01-02 03:00:00;0.313;0.818;271.5;0.006;0.035;-28.4;100;18.53;25.3;23.01;26.24;944;0
Ribeirão Preto;2005-01-02 04:00:00;0.323;0.642;290.3;0.006;0.034;-27.53;100;18.37;25.08;22.69;26.14;944;0
Ribeirão Preto;2005-01-02 05:00:00;0.291;0.77;319.5;0.006;0.035;-26.44;100;18.64;24.88;22.46;26.08;944;0
Ribeirão Preto;2005-01-02 06:00:00;0.313;0.515;305.4;0.03;0.036;-24.63;100;18.71;24.78;22.26;25.83;945;0
Ribeirão Preto;2005-01-02 07:00:00;0.323;0.554;305.4;0.336;0.037;-21.16;100;19.4;24.92;22.04;25.26;945;0
Ribeirão Preto;2005-01-02 08:00:00;0.323;0.997;208.3;0.815;0.044;-7.46;94;22.59;26.12;22.21;25.15;943;0
Ribeirão Preto;2005-01-02 09:00:00;0.291;1.298;157.1;1.024;0.052;18.64;82.4;25.34;28.99;22.97;25.26;940;0
Ribeirão Preto;2005-01-02 10:00:00;0.291;1.15;230.1;0.849;0.057;40.66;74.5;27.43;32.14;24.41;25.64;940;0
Ribeirão Preto;2005-01-02 11:00:00;0.302;1.272;299.7;0.691;0.06;56.52;72.5;28.74;35.08;26.19;26.17;938;0
Ribeirão Preto;2005-01-02 12:00:00;0.323;1.228;296.9;0.641;0.062;65.91;69.66;30.32;37.55;28.01;27.2;937;0
Ribeirão Preto;2005-01-02 13:00:00;0.302;1.078;4.731;0.448;0.063;69.57;64.93;31.61;39.46;29.75;28.07;936;0
Ribeirão Preto;2005-01-02 14:00:00;0.323;1.175;36.79;0.577;0.033;65.2;59.95;32.73;40.42;31.02;29.07;933;0
Ribeirão Preto;2005-01-02 15:00:00;0.323;1.565;79.9;0.479;0;67.07;58.74;33.35;41.62;32.22;29.98;931;0
Ribeirão Preto;2005-01-02 16:00:00;0.323;2.796;135.2;0.171;0.047;17.33;75.1;25.91;38.34;32.62;30.62;933;0
Ribeirão Preto;2005-01-02 17:00:00;0.323;1.648;168.8;0.208;0.062;11.29;64.41;29.39;37.03;31.65;31.11;931;0
Ribeirão Preto;2005-01-02 18:00:00;0.302;2.649;189.9;0.105;0.061;3.434;72.5;27.4;35.94;31.24;31;933;0
Ribeirão Preto;2005-01-02 19:00:00;0.291;1.756;205.7;0.03;0.052;-23.5;78.2;23.96;32.92;30.24;30.87;936;0
Ribeirão Preto;2005-01-02 20:00:00;0.323;0.689;251.7;0.006;0.046;-27.37;82.1;22.67;31.28;28.97;30.2;938;0
Ribeirão Preto;2005-01-02 21:00:00;0.323;0.681;67.69;0.006;0.043;-26.85;90.5;21.7;30.31;27.94;29.69;940;0
Ribeirão Preto;2005-01-02 22:00:00;0.313;0.654;88.4;0.007;0.04;-26.39;97.8;20.96;29.61;27.12;29.24;942;0
Ribeirão Preto;2005-01-02 23:00:00;0.323;0.998;282.3;0.007;0.039;-26.85;95.5;20.68;28.91;26.47;28.84;943;0
Ribeirão Preto;2005-01-03 00:00:00;0.302;0.558;322.2;0.008;0.037;-27.99;95.3;20.19;28.21;25.97;28.82;943;0
Ribeirão Preto;2005-01-03 01:00:00;0.323;0.609;322;0.006;0.036;-26.79;97;19.83;27.71;25.35;27.95;943;0
Ribeirão Preto;2005-01-03 02:00:00;0.323;0.509;322.2;0.006;0.035;-25.86;97.7;19.56;27.34;24.84;26.71;942;0
Ribeirão Preto;2005-01-03 03:00:00;0.313;0.42;322.2;0.006;0.034;-26.82;97.8;19.09;26.84;24.44;26.47;942;0
Ribeirão Preto;2005-01-03 04:00:00;0.302;0.838;321.9;0.006;0.033;-27.05;97.7;18.86;26.36;23.99;26.25;943;0
Ribeirão Preto;2005-01-03 05:00:00;0.323;0.426;321.8;0.006;0.031;-28.47;99;18.41;25.78;23.63;26.67;944;0
Ribeirão Preto;2005-01-03 06:00:00;0.323;0.321;321.9;0.043;0.029;-27.96;100;18.17;25.39;23.24;26.46;944;0
Ribeirão Preto;2005-01-03 07:00:00;0.291;0.626;320;0.406;0.032;-24.45;99.1;19.73;25.39;22.88;26.15;943;0
Ribeirão Preto;2005-01-03 08:00:00;0.313;1.399;256.7;0.803;0.043;-5.047;86.5;24.14;27.3;23;25.84;941;0
