Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2006-01-01 00:00:00;0.323;1.829;90.8;0.007;0.044;-24.85;100;19.54;35.68;24.72;27.81;942;0
Ribeirão Preto;2006-01-01 01:00:00;0.323;1.247;55.56;0.006;0.044;-27.53;100;18.91;34.87;23.97;27.66;942;0
Ribeirão Preto;2006-01-01 02:00:00;0.302;0.876;77.8;0.006;0.044;-24.56;100;19.02;34.58;23.53;27.06;942;0
Ribeirão Preto;2006-01-01 03:00:00;0.313;1.001;79.8;0.006;0.045;-22.85;100;19.13;34.44;23.15;27.47;941;0
Ribeirão Preto;2006-01-01 04:00:00;0.323;1.144;101;0.007;0.045;-21.48;100;19.12;34.27;22.91;26.57;941;0
Ribeirão Preto;2006-01-01 05:00:00;0.313;1.359;114;0.007;0.046;-20.35;100;19.16;34.04;22.91;25.34;942;0
Ribeirão Preto;2006-01-01 06:00:00;0.323;1.763;125.2;0.007;0.046;-19.56;100;18.94;33.9;22.55;25.73;942;0
Ribeirão Preto;2006-01-01 07:00:00;0.323;1.402;156.8;0.006;0.047;-18.51;100;18.94;33.83;22.37;25.65;942;0
Ribeirão Preto;2006-01-01 08:00:00;0.323;1.685;180.3;0.007;0.049;-12.17;100;19.7;34.4;22.45;25.28;942;0
Ribeirão Preto;2006-01-01 09:00:00;0.313;1.511;158.1;0.008;0.057;4.049;96.4;22.05;36.06;22.94;25.2;940;0
Ribeirão Preto;2006-01-01 10:00:00;0.302;1.934;134.7;0.009;0.039;23.37;88.3;24.34;38.55;24.27;25.38;938;0
Ribeirão Preto;2006-01-01 11:00:00;0.302;2.485;123.1;0.009;0;34.52;82.6;25.73;40.65;25.68;25.86;937;0
Ribeirão Preto;2006-01-01 12:00:00;0.323;2.484;102.4;0.008;0;39.9;75.9;27.12;42.36;26.96;26.6;934;0
Ribeirão Preto;2006-01-01 13:00:00;0.313;2.45;92.4;0.007;0;40.12;73.1;27.61;43.41;28.22;27.05;933;0
Ribeirão Preto;2006-01-01 14:00:00;0.313;2.527;99.4;0.008;0;36.02;71.4;28.44;43.98;28.84;27.82;932;0
Ribeirão Preto;2006-01-01 15:00:00;0.291;2.926;113.7;0.008;0;32.36;76.2;27.49;44.27;29.39;28.51;930;0.2
Ribeirão Preto;2006-01-01 16:00:00;0.323;2.581;122.6;0.008;0;19.76;82.5;26.33;43.53;29.45;28.87;931;0
Ribeirão Preto;2006-01-01 17:00:00;0.323;1.56;86.9;0.007;0.057;0.011;94.3;23.17;41.65;28.89;28.96;933;0
Ribeirão Preto;2006-01-01 18:00:00;0.302;0.84;57.73;0.007;0.053;-13.2;100;21.38;39.75;27.73;29.03;935;0
Ribeirão Preto;2006-01-01 19:00:00;0.291;1.226;327;0.008;0.051;-18.52;100;21.18;38.58;26.92;28.59;936;0
Ribeirão Preto;2006-01-01 20:00:00;0.323;0.935;326.6;0.008;0.051;-22.58;100;20.73;37.37;26.05;28.7;938;0
Ribeirão Preto;2006-01-01 21:00:00;0.313;0.984;333.8;0.007;0.051;-24.76;100;20.35;36.42;25.26;27.94;939;0
Ribeirão Preto;2006-01-01 22:00:00;0.291;0.962;323;0.006;0.05;-25.49;100;19.87;35.58;24.57;27.14;940;0
Ribeirão Preto;2006-01-01 23:00:00;0.313;1.38;265.1;0.007;0.051;-22.84;100;20.13;35.22;24.05;27.05;940;0
Ribeirão Preto;2006-01-02 00:00:00;0.302;1.29;171;0.006;0.051;-23.78;100;19.24;34.52;23.16;26.54;940;0
Ribeirão Preto;2006-01-02 01:00:00;0.302;1.033;316.5;0.007;0.051;-22.27;100;19.31;34.16;22.84;25.68;940;0
Ribeirão Preto;2006-01-02 02:00:00;0.323;0.987;308.5;0.007;0.051;-19.84;100;19.33;34.05;22.69;25.24;940;0
Ribeirão Preto;2006-01-02 03:00:00;0.302;1.32;253.9;0.006;0.052;-18.36;100;19.38;33.83;22.52;25.34;940;0
Ribeirão Preto;2006-01-02 04:00:00;0.302;1.057;175.6;0.006;0.052;-17.98;100;19.25;33.6;22.22;25.09;940;0
Ribeirão Preto;2006-01-02 05:00:00;0.302;1.471;141.2;0.006;0.052;-17.59;100;19.07;33.29;21.82;24.66;940;0
Ribeirão Preto;2006-01-02 06:00:00;0.313;1.451;125.2;0.007;0.052;-18.13;100;18.79;32.89;21.45;24.33;942;0
