Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2008-01-01 00:00:00;0.651;1.136;287.6;0;0;-14.38;75.7;24.06;28.03;29.47;29.94;947;0
Ribeirão Preto;2008-01-01 01:00:00;0.639;0.963;33.85;0;0;-15.24;81.1;23.15;27.46;29.03;29.65;947;0
Ribeirão Preto;2008-01-01 02:00:00;0.952;1.536;193.7;0;0;-15.43;82.9;22.84;27.09;28.63;29.47;947;0
Ribeirão Preto;2008-01-01 03:00:00;0.872;1.505;152.6;0;0;-14.76;81.7;23.07;26.8;28.39;29.19;947;0
Ribeirão Preto;2008-01-01 04:00:00;0.637;0.579;343.7;0;0;-14.04;83.8;22.65;26.57;28.09;28.9;948;0
Ribeirão Preto;2008-01-01 05:00:00;0.572;0.902;175.4;0;0;-14.22;84.6;22.27;26.34;27.82;28.66;949;0
Ribeirão Preto;2008-01-01 06:00:00;0.649;1.611;155.6;7.94;0;-15.01;89.7;21.25;26.03;27.5;28.51;949;0
Ribeirão Preto;2008-01-01 07:00:00;0.676;0.74;109.5;87.3;0;-15.12;81.2;22.92;25.69;27.26;28.37;949;0
Ribeirão Preto;2008-01-01 08:00:00;1.136;1.703;143.5;249.1;0;-11.47;71;24.8;25.98;27.14;28.15;948;0
Ribeirão Preto;2008-01-01 09:00:00;1.66;1.939;87.1;400.5;0;-4.647;61.85;26.81;26.71;27.07;27.97;947;0
Ribeirão Preto;2008-01-01 10:00:00;1.469;2.122;142.9;718;0;3.096;56.16;29.34;27.95;27.19;27.89;947;0
Ribeirão Preto;2008-01-01 11:00:00;1.512;1.75;133.8;923;0;13.51;48.71;30.97;29.91;27.68;27.93;945;0
Ribeirão Preto;2008-01-01 12:00:00;1.608;1.934;29.79;969;0;24.01;44.63;31.94;31.77;28.45;28.08;944;0
Ribeirão Preto;2008-01-01 13:00:00;1.151;1.404;278.3;373.3;0;27.3;45.11;31.33;32.64;29.29;28.33;944;0
Ribeirão Preto;2008-01-01 14:00:00;1.54;1.73;266.1;708;0;21.45;42.22;32.48;32.86;29.93;28.78;942;0
Ribeirão Preto;2008-01-01 15:00:00;1.19;1.283;346.7;404.6;0;20.1;41.58;32.28;32.98;30.43;29.12;942;0
Ribeirão Preto;2008-01-01 16:00:00;0.883;1.13;257.9;150.6;0;14.79;45.79;31.35;32.6;30.72;29.47;942;0
Ribeirão Preto;2008-01-01 17:00:00;3.756;5.25;5.423;19.49;0;5.061;61.78;24.92;31.51;30.84;29.81;944;0.508
Ribeirão Preto;2008-01-01 18:00:00;1.467;2.271;243.8;23.51;0;-8.29;72.6;22.25;29.78;30.48;29.96;944;0.254
Ribeirão Preto;2008-01-01 19:00:00;0.977;1.833;177.5;11.56;0;-11.93;72.5;23.19;28.95;30.06;29.91;946;0
Ribeirão Preto;2008-01-01 20:00:00;1.521;1.948;320.8;0.033;0;-13.1;76.9;22.8;28.36;29.56;29.71;947;0
Ribeirão Preto;2008-01-01 21:00:00;1.173;1.496;297.7;0;0;-13.95;76.7;22.73;27.76;29.15;29.56;949;0
Ribeirão Preto;2008-01-01 22:00:00;1.082;1.813;207.3;0;0;-14.43;76.7;23.37;27.27;28.71;29.41;949;0
Ribeirão Preto;2008-01-01 23:00:00;1.051;1.414;233;0;0;-14.22;80;23.14;26.97;28.44;29.13;949;0
Ribeirão Preto;2008-01-02 00:00:00;1.309;1.977;175.3;0;0;-14.1;84.4;22.51;26.62;28.16;28.87;949;0
Ribeirão Preto;2008-01-02 01:00:00;0.789;1.138;296.7;0;0;-14.26;87.1;22.08;26.36;27.84;28.66;949;0
Ribeirão Preto;2008-01-02 02:00:00;1.026;2.152;173.7;0.001;0;-14.12;88.4;21.74;26.17;27.54;28.51;949;0
Ribeirão Preto;2008-01-02 03:00:00;1.28;2.08;175.7;0;0;-14.59;86.9;21.89;25.87;27.28;28.37;949;0
Ribeirão Preto;2008-01-02 04:00:00;1.18;1.996;162.4;0.001;0;-14.75;86.9;21.78;25.54;27.07;28.14;949;0
Ribeirão Preto;2008-01-02 05:00:00;0.863;1.13;208.2;0;0;-14.65;88.6;21.57;25.35;26.82;27.93;950;0
Ribeirão Preto;2008-01-02 06:00:00;0.976;1.282;295.8;5.764;0;-14.35;91.3;21.05;25.13;26.61;27.76;951;0
Ribeirão Preto;2008-01-02 07:00:00;1.193;1.82;217.4;109.4;0;-14;88.3;21.88;25.06;26.46;27.57;951;0
Ribeirão Preto;2008-01-02 08:00:00;1.815;3.355;161.6;259.4;0;-10.35;79.4;24.1;25.39;26.34;27.34;951;0
Ribeirão Preto;2008-01-02 09:00:00;1.702;2.966;144.9;297.2;0;-6.046;78.2;24.69;26.01;26.32;27.23;950;0
Ribeirão Preto;2008-01-02 10:00:00;2.212;2.913;124.9;400.9;0;-1.592;70.4;26.3;26.72;26.43;27.14;949;0
Ribeirão Preto;2008-01-02 11:00:00;2.411;2.888;81.3;721;0;4.423;60.55;28.07;27.81;26.72;27.2;947;0
Ribeirão Preto;2008-01-02 12:00:00;2.362;3.19;35.51;804;0;11.69;53.3;29.47;29.02;27.19;27.28;947;0
Ribeirão Preto;2008-01-02 13:00:00;2.857;3.531;5.281;637.2;0;17.4;47.9;30.04;30.1;27.8;27.53;947;0
Ribeirão Preto;2008-01-02 14:00:00;2.914;3.742;351.6;790;0;16.14;40.42;30.93;30.31;28.35;27.81;945;0
Ribeirão Preto;2008-01-02 15:00:00;1.761;2.268;307.9;358.5;0;15.96;44.55;30.31;30.71;28.78;28.13;944;0
Ribeirão Preto;2008-01-02 16:00:00;1.714;2.112;264.3;481.1;0;12.25;50.59;30.47;30.86;29.15;28.39;944;0
Ribeirão Preto;2008-01-02 17:00:00;1.83;2.364;261.9;439.4;0;10.73;45.06;31.27;30.98;29.43;28.67;944;0
Ribeirão Preto;2008-01-02 18:00:00;1.8;2.334;260.7;78.9;0;6.524;55.58;28.65;30.54;29.68;28.88;944;0
Ribeirão Preto;2008-01-02 19:00:00;1.538;2.378;257.7;22.69;0;-1.736;54.65;26.21;29.61;29.66;29.08;945;0
Ribeirão Preto;2008-01-02 20:00:00;1.523;2.857;177.8;0.117;0;-8.3;54.95;25.65;28.59;29.39;29.16;947;0
Ribeirão Preto;2008-01-02 21:00:00;0.967;1.518;164.4;0.006;0;-12.01;60.15;25.26;27.85;28.98;29.11;948;0
Ribeirão Preto;2008-01-02 22:00:00;0.64;1.331;157.1;0;0;-12.27;67.76;24.41;27.39;28.58;28.96;950;0
Ribeirão Preto;2008-01-02 23:00:00;0.722;1.514;174.3;0;0;-12.86;70.7;23.76;27.07;28.37;28.78;950;0
Ribeirão Preto;2008-01-03 00:00:00;0.585;1.453;173.9;0;0;-13.01;67.69;24.12;26.72;28.05;28.63;950;0
Ribeirão Preto;2008-01-03 01:00:00;0.569;1.553;180.1;0;0;-12.82;68.53;24.01;26.48;27.82;28.51;950;0
Ribeirão Preto;2008-01-03 02:00:00;0.577;0.954;154.6;0;0;-12.49;74.5;23.59;26.33;27.49;28.37;949;0
Ribeirão Preto;2008-01-03 03:00:00;0.495;0.839;57.73;0;0;-13.04;76.4;22.44;26.05;27.28;28.21;950;0
Ribeirão Preto;2008-01-03 04:00:00;0.5;0.881;154.1;0;0;-15.25;79;21.91;25.48;27.09;28.06;950;0
Ribeirão Preto;2008-01-03 05:00:00;0.477;0.933;162;0;0;-16.71;81.9;21.2;25.05;26.74;27.83;951;0
Ribeirão Preto;2008-01-03 06:00:00;0.584;1.562;156.5;9.31;0;-17.37;83.9;20.87;24.59;26.45;27.62;952;0
Ribeirão Preto;2008-01-03 07:00:00;0.789;1.681;150;140.6;0;-16.63;75.9;23.03;24.43;26.2;27.36;951;0
Ribeirão Preto;2008-01-03 08:00:00;1.386;1.796;116.6;257.7;0;-11.82;64.47;24.84;24.93;26.1;27.2;951;0
Ribeirão Preto;2008-01-03 09:00:00;2.035;2.558;74.8;454.7;0;-4.624;50.35;26.9;25.83;26.09;27.11;951;0
Ribeirão Preto;2008-01-03 10:00:00;2.685;3.4;8.18;647.2;0;1.935;46.97;27.67;26.76;26.31;26.99;950;0
Ribeirão Preto;2008-01-03 11:00:00;3.308;3.943;322;538.8;0;8.41;51.34;27.66;27.9;26.6;27;951;0
Ribeirão Preto;2008-01-03 12:00:00;3.417;4.477;329;771;0;9.04;48.75;28.01;28.52;27.04;27.23;950;0
Ribeirão Preto;2008-01-03 13:00:00;3.208;4.128;350.3;665.4;0;12.73;43.23;29.08;29.43;27.48;27.34;949;0
Ribeirão Preto;2008-01-03 14:00:00;3.32;4.358;330.9;760;0;13.91;44.89;29.69;30.05;28.01;27.64;949;0
Ribeirão Preto;2008-01-03 15:00:00;3.033;3.901;291.7;673.5;0;13.91;54.33;28.19;30.64;28.48;27.93;947;0
Ribeirão Preto;2008-01-03 16:00:00;2.433;2.975;270.8;290.1;0;11.47;56.81;27.14;30.78;28.97;28.22;947;0
Ribeirão Preto;2008-01-03 17:00:00;1.273;2.007;253.9;104.8;0;4.1;59.91;26.18;30.2;29.21;28.46;947;0
Ribeirão Preto;2008-01-03 18:00:00;1.143;1.625;227.2;127.9;0;-1.097;59.91;26.41;29.55;29.2;28.64;947;0
Ribeirão Preto;2008-01-03 19:00:00;0.728;1.342;202.2;25.09;0;-3.405;67.21;25.26;29.08;29.13;28.74;949;0
Ribeirão Preto;2008-01-03 20:00:00;0.917;1.143;248.8;0.081;0;-6.552;74.6;23.79;28.44;28.86;28.77;949;0
Ribeirão Preto;2008-01-03 21:00:00;0.671;1.791;166.6;0;0;-9.4;81.2;22.63;27.8;28.62;28.76;951;0
Ribeirão Preto;2008-01-03 22:00:00;0.687;1.338;144.6;0;0;-11.3;81.6;22.04;27.2;28.39;28.65;953;0
Ribeirão Preto;2008-01-03 23:00:00;0.56;1.411;142.2;0;0;-12.88;81.6;21.72;26.64;28.03;28.54;953;0
Ribeirão Preto;2008-01-04 00:00:00;0.876;2.014;176.1;0;0;-14.15;77.8;21.76;26.2;27.65;28.39;952;0
Ribeirão Preto;2008-01-04 01:00:00;0.703;1.415;178.9;0;0;-14.94;77.3;21.47;25.74;27.29;28.26;953;0
Ribeirão Preto;2008-01-04 02:00:00;0.513;1.408;178.2;0;0;-15.99;78.8;21.05;25.25;26.97;28.03;952;0
Ribeirão Preto;2008-01-04 03:00:00;0.566;0.851;195.4;0.003;0;-16.76;81.7;20.64;24.83;26.61;27.77;952;0
Ribeirão Preto;2008-01-04 04:00:00;0.633;0.99;175.9;0.003;0;-17.1;82.5;20.55;24.39;26.35;27.55;953;0
Ribeirão Preto;2008-01-04 05:00:00;0.489;1.24;175;0;0;-17.22;80.5;20.82;24.04;26.11;27.31;953;0
Ribeirão Preto;2008-01-04 06:00:00;0.498;1.237;169.7;7.35;0;-17.4;83.9;20;23.77;25.79;27.11;953;0
Ribeirão Preto;2008-01-04 07:00:00;0.675;1.262;163;115.6;0;-17.03;76.7;22.32;23.6;25.47;26.87;952;0
Ribeirão Preto;2008-01-04 08:00:00;1.147;1.615;153.1;316.5;0;-12.73;69;24.55;23.92;25.27;26.68;951;0
Ribeirão Preto;2008-01-04 09:00:00;1.52;1.722;101.3;531.2;0;-3.69;59.68;26.96;25.24;25.29;26.51;951;0
Ribeirão Preto;2008-01-04 10:00:00;2.683;3.411;27.3;751;0;6.104;46.27;28.65;26.8;25.7;26.45;950;0
Ribeirão Preto;2008-01-04 11:00:00;2.961;3.58;4.501;804;0;12.87;45.14;29.34;28.14;26.22;26.57;949;0
Ribeirão Preto;2008-01-04 12:00:00;3.151;4.187;344.3;930;0;18.28;42.14;30.49;29.54;26.85;26.82;949;0
Ribeirão Preto;2008-01-04 13:00:00;3.371;4.265;341.8;912;0;22.64;41.02;30.94;30.77;27.63;27.06;948;0
Ribeirão Preto;2008-01-04 14:00:00;3.111;4.13;1.041;610.5;0;22.33;39.16;31.21;31.4;28.42;27.49;947;0
Ribeirão Preto;2008-01-04 15:00:00;3.326;4.127;354.2;752;0;17.28;36.74;31.82;31.37;28.98;27.93;945;0
Ribeirão Preto;2008-01-04 16:00:00;2.969;3.716;337.1;609.3;0;15.33;33.52;32.19;31.58;29.41;28.31;945;0
Ribeirão Preto;2008-01-04 17:00:00;2.477;3.348;278.4;264.5;0;10.18;51.09;28.77;31.31;29.78;28.63;945;0
Ribeirão Preto;2008-01-04 18:00:00;1.921;2.621;266.8;131.6;0;2.77;60.28;26.23;30.65;29.84;28.96;945;0
Ribeirão Preto;2008-01-04 19:00:00;1.155;1.523;242.2;28.28;0;-2.516;57.73;26.02;29.94;29.79;29.14;947;0
Ribeirão Preto;2008-01-04 20:00:00;0.937;1.533;196.4;0.086;0;-6.818;63.8;24.88;29.14;29.59;29.22;949;0
Ribeirão Preto;2008-01-04 21:00:00;1.133;1.46;139.7;0;0;-9.68;66.91;24.41;28.43;29.28;29.26;950;0
Ribeirão Preto;2008-01-04 22:00:00;1.039;1.632;143.9;0;0;-10.92;68.5;24.32;27.91;28.86;29.1;951;0
Ribeirão Preto;2008-01-04 23:00:00;0.645;0.858;181.3;0;0;-11.08;71.2;23.9;27.5;28.55;28.92;951;0
Ribeirão Preto;2008-01-05 00:00:00;0.757;1.761;172.8;0;0;-10.84;71.9;23.56;27.24;28.37;28.78;951;0
Ribeirão Preto;2008-01-05 01:00:00;0.776;2.266;180.3;0;0;-11.6;73.1;22.84;26.9;28.09;28.62;951;0
Ribeirão Preto;2008-01-05 02:00:00;0.503;1.585;174.1;0;0;-12.88;75;22.31;26.41;27.79;28.47;950;0
Ribeirão Preto;2008-01-05 03:00:00;0.499;1.703;176;0.003;0;-13.88;76.5;21.96;26.05;27.42;28.36;950;0
Ribeirão Preto;2008-01-05 04:00:00;0.509;0.846;193.8;0;0;-13.67;76.4;22.09;25.75;27.17;28.14;951;0
Ribeirão Preto;2008-01-05 05:00:00;0.507;0.589;199.8;0;0;-13.1;78.6;21.89;25.55;26.93;27.93;951;0
Ribeirão Preto;2008-01-05 06:00:00;0.672;0.768;287.2;6.808;0;-13.16;83.1;21.02;25.28;26.68;27.75;952;0
Ribeirão Preto;2008-01-05 07:00:00;0.706;0.674;296.1;95;0;-12.82;81.8;21.98;25.09;26.46;27.56;951;0
Ribeirão Preto;2008-01-05 08:00:00;1.576;1.825;324.5;64.59;0;-9.69;88.8;21.67;25.4;26.36;27.31;953;2.032
Ribeirão Preto;2008-01-05 09:00:00;0.991;0.968;318.4;220.6;0;-7.57;87.2;22.57;25.63;26.32;27.27;951;0
Ribeirão Preto;2008-01-05 10:00:00;2.031;2.343;335.3;627;0;-0.901;71.5;25.61;26.64;26.33;27.16;950;0
Ribeirão Preto;2008-01-05 11:00:00;2.439;3.02;358;676.6;0;10.27;64.4;27.4;28.31;26.71;27.14;949;0
Ribeirão Preto;2008-01-05 12:00:00;2.131;2.488;345.7;783;0;16.36;62.96;28.18;29.53;27.26;27.26;949;0
Ribeirão Preto;2008-01-05 13:00:00;2.653;3.099;328.8;845;0;21.63;56.08;29.29;30.83;27.96;27.52;947;0
Ribeirão Preto;2008-01-05 14:00:00;3.071;3.999;352.1;479.2;0;21.14;54.03;29.47;31.21;28.62;27.87;945;0
Ribeirão Preto;2008-01-05 15:00:00;2.882;3.495;321.9;379.8;0;14.23;52.69;29.64;30.79;29.03;28.21;945;0
Ribeirão Preto;2008-01-05 16:00:00;3.476;4.364;319;204;0;8.51;61.03;27.41;30.38;29.25;28.51;945;0.508
Ribeirão Preto;2008-01-05 17:00:00;1.795;2.364;311.9;22.29;0;-0.417;84.2;22.6;29.32;29.21;28.67;947;0.508
Ribeirão Preto;2008-01-05 18:00:00;1.619;2.157;6.439;64;0;-5.897;87;22.67;28.45;28.92;28.76;947;0
Ribeirão Preto;2008-01-05 19:00:00;1.174;1.397;355.6;9.43;0;-7.27;86.2;22.65;27.96;28.6;28.74;947;0
Ribeirão Preto;2008-01-05 20:00:00;0.853;0.9;335.6;0.029;0;-8.73;86.1;22.5;27.41;28.42;28.62;949;0
